tanggal,nama_kecamatan,positif
2020-10-08,CAKUNG,1900
2020-10-09,CAKUNG,1964
2020-10-10,CAKUNG,2011
2020-10-11,CAKUNG,2075
2020-10-12,CAKUNG,2093
2020-10-13,CAKUNG,2102
2020-10-14,CAKUNG,2151
2020-10-15,CAKUNG,2165
2020-10-16,CAKUNG,2208
2020-10-17,CAKUNG,2261
2020-10-18,CAKUNG,2283
2020-10-19,CAKUNG,2298
2020-10-20,CAKUNG,2338
2020-10-21,CAKUNG,2362
2020-10-22,CAKUNG,2392
2020-10-23,CAKUNG,2406
2020-10-24,CAKUNG,2447
2020-10-25,CAKUNG,2476
2020-10-26,CAKUNG,2517
2020-10-27,CAKUNG,2524
2020-10-28,CAKUNG,2553
2020-10-29,CAKUNG,2559
2020-10-30,CAKUNG,2585
2020-10-31,CAKUNG,2607
2020-11-01,CAKUNG,2629
2020-11-02,CAKUNG,2666
2020-11-03,CAKUNG,2701
2020-11-04,CAKUNG,2733
2020-11-05,CAKUNG,2761
2020-11-06,CAKUNG,2777
2020-11-07,CAKUNG,2840
2020-11-08,CAKUNG,2873
2020-11-09,CAKUNG,2891
2020-11-10,CAKUNG,2932
2020-11-11,CAKUNG,2943
2020-11-12,CAKUNG,2972
2020-11-13,CAKUNG,3017
2020-11-14,CAKUNG,3058
2020-11-15,CAKUNG,3106
2020-11-16,CAKUNG,3140
2020-11-17,CAKUNG,3161
2020-11-18,CAKUNG,3196
2020-11-19,CAKUNG,3232
2020-11-20,CAKUNG,3272
2020-11-21,CAKUNG,3320
2020-11-22,CAKUNG,3378
2020-11-23,CAKUNG,3424
2020-11-24,CAKUNG,3453
2020-11-25,CAKUNG,3479
2020-11-26,CAKUNG,3506
2020-11-27,CAKUNG,3552
2020-11-28,CAKUNG,3617
2020-11-29,CAKUNG,3645
2020-11-30,CAKUNG,3658
2020-03-25,CIPAYUNG,1
2020-03-26,CIPAYUNG,2
2020-03-27,CIPAYUNG,2
2020-03-28,CIPAYUNG,3
2020-03-29,CIPAYUNG,3
2020-03-30,CIPAYUNG,4
2020-03-31,CIPAYUNG,6
2020-04-01,CIPAYUNG,6
2020-04-02,CIPAYUNG,8
2020-04-03,CIPAYUNG,8
2020-04-04,CIPAYUNG,9
2020-04-05,CIPAYUNG,9
2020-04-06,CIPAYUNG,9
2020-04-07,CIPAYUNG,9
2020-04-08,CIPAYUNG,8
2020-04-09,CIPAYUNG,8
2020-04-10,CIPAYUNG,11
2020-04-11,CIPAYUNG,11
2020-04-12,CIPAYUNG,12
2020-04-13,CIPAYUNG,15
2020-04-14,CIPAYUNG,17
2020-04-15,CIPAYUNG,17
2020-04-16,CIPAYUNG,18
2020-04-17,CIPAYUNG,19
2020-04-18,CIPAYUNG,24
2020-04-19,CIPAYUNG,24
2020-04-20,CIPAYUNG,26
2020-04-21,CIPAYUNG,26
2020-04-22,CIPAYUNG,27
2020-04-23,CIPAYUNG,28
2020-04-24,CIPAYUNG,31
2020-04-25,CIPAYUNG,33
2020-04-26,CIPAYUNG,31
2020-04-27,CIPAYUNG,37
2020-04-28,CIPAYUNG,37
2020-04-29,CIPAYUNG,37
2020-04-30,CIPAYUNG,38
2020-05-01,CIPAYUNG,39
2020-05-02,CIPAYUNG,39
2020-05-03,CIPAYUNG,41
2020-05-04,CIPAYUNG,44
2020-05-05,CIPAYUNG,46
2020-05-06,CIPAYUNG,46
2020-05-07,CIPAYUNG,48
