id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,5149,231,4918,3689,651,3038,648,225,33,3,387,
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,7441,437,7004,2491,340,2151,1561,132,968,73,388,
3173061005,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,183,1,182,64,3,61,50,10,33,4,3,
3174071006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,6,0,6,13,0,13,17,0,16,0,1,
3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,460,3,457,51,5,46,60,11,26,7,16,
3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,170,0,170,84,0,84,37,6,18,4,9,
3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,138,1,137,32,3,29,64,8,30,1,25,
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,179,2,177,36,0,36,43,6,24,5,8,
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,319,1,318,71,4,67,43,9,23,5,6,
3174051002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,170,1,169,36,1,35,44,7,22,9,6,
3175071004,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,145,1,144,15,0,15,58,10,29,4,15,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,173,0,173,63,1,62,30,6,16,3,5,
3173081004,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,76,1,75,35,3,32,27,4,14,3,6,
3174011003,DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,90,0,90,24,3,21,28,2,16,3,7,
3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,197,0,197,64,3,61,52,5,34,3,10,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,82,1,81,14,0,14,18,2,9,2,5,
3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,36,1,35,11,1,10,23,3,17,2,1,
3172021006,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,563,0,563,141,2,139,166,28,50,11,77,
3172011005,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,75,0,75,44,1,43,43,7,17,4,15,
3174091005,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,90,2,88,37,2,35,20,2,11,2,5,
3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,275,0,275,45,5,40,42,11,17,4,10,
3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,84,0,84,20,0,20,28,4,19,0,5,
3174011001,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET TIMUR,50,0,50,15,0,15,17,1,10,3,3,
3174061002,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,113,0,113,33,3,30,30,6,10,6,8,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,87,0,87,36,4,32,30,7,15,6,2,
3171031003,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,59,1,58,17,0,17,20,2,8,2,8,
3173051007,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,93,2,91,24,1,23,17,2,10,1,4,
3173051004,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,83,0,83,15,1,14,20,5,10,1,4,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,61,0,61,21,3,18,25,2,15,3,5,
3174071005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,16,0,16,5,0,5,7,0,6,1,0,
3175031006,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,69,1,68,12,1,11,26,4,12,1,9,
3175061003,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,134,1,133,30,2,28,41,7,18,2,14,
3174011002,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET BARAT,95,0,95,22,1,21,31,3,19,2,7,
3173021004,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,84,0,84,12,0,12,29,2,15,4,8,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,50,2,48,21,0,21,20,5,8,4,3,
3174021003,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,56,1,55,13,0,13,14,1,11,2,0,
3173071001,DKI JAKARTA,JAKARTA BARAT,PALMERAH,PALMERAH,359,7,352,105,2,103,61,11,26,7,17,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,255,2,253,76,3,73,44,3,26,5,10,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,28,1,27,10,1,9,23,4,14,2,3,
3175021006,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,96,1,95,42,2,40,44,10,23,5,6,
3171061001,DKI JAKARTA,JAKARTA PUSAT,MENTENG,MENTENG,146,1,145,21,1,20,21,3,12,4,2,
3175051004,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,KALISARI,65,0,65,24,1,23,19,2,12,2,3,
3174051001,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,63,2,61,26,2,24,20,4,10,2,4,
3173051006,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,136,3,133,20,4,16,17,4,9,0,4,
3171031002,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,72,0,72,22,0,22,36,3,14,5,14,
3173081001,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,63,5,58,23,2,21,25,3,12,1,9,
3171081001,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,145,0,145,29,0,29,27,8,11,3,5,
3175021002,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,85,0,85,18,3,15,10,1,5,3,1,
3172031002,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,201,3,198,65,6,59,37,4,9,4,20,
3174041006,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,109,0,109,30,2,28,23,7,7,2,7,
3173011002,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,92,0,92,20,4,16,17,2,11,1,3,
3175071003,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,KLENDER,159,0,159,23,0,23,48,8,19,8,13,
3175011003,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,219,0,219,21,0,21,30,10,14,1,5,
3172051002,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,1164,12,1152,65,5,60,159,27,27,9,96,
3172021004,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,45,0,45,26,2,24,12,0,5,3,4,
3172011004,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,93,0,93,15,3,12,27,8,11,2,6,
3175011006,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,186,1,185,29,2,27,40,5,22,3,10,
3174051005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,73,1,72,27,2,25,22,3,10,2,7,
3173071003,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,108,0,108,38,4,34,40,6,11,4,19,
3174101005,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,64,3,61,22,3,19,17,4,7,3,3,
3175091001,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,179,2,177,40,2,38,25,2,11,5,7,
3172061002,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,277,1,276,49,0,49,28,3,17,2,6,
3173061003,DKI JAKARTA,JAKARTA BARAT,KALI DERES,TEGAL ALUR,137,1,136,37,4,33,18,3,10,1,4,
3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,139,2,137,26,6,20,46,7,14,3,22,
3174041005,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,172,1,171,40,3,37,40,6,12,4,18,
3174051006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,105,1,104,42,0,42,14,5,4,4,1,
3175071002,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,255,1,254,45,2,43,70,7,8,4,51,
3175011001,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,60,1,59,17,0,17,23,6,9,1,7,
3174071009,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,56,1,55,39,7,32,9,3,3,0,3,
3175021005,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,92,0,92,16,0,16,26,8,14,1,3,
3174091001,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,182,5,177,54,7,47,21,3,10,1,7,
3174061003,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,PONDOK LABU,113,1,112,54,2,52,30,6,15,1,8,
3172021002,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,155,2,153,59,2,57,63,13,10,5,35,
3175101007,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,92,1,91,24,3,21,12,2,5,0,5,
3173051003,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,66,1,65,26,2,24,16,5,6,1,4,
3174021006,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,59,1,58,12,1,11,13,4,3,2,4,
3175071007,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,63,0,63,17,0,17,23,3,6,4,10,
3175031008,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,182,1,181,8,0,8,35,6,7,1,21,
3171081002,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,167,0,167,21,2,19,34,2,10,5,17,
3174101001,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,76,1,75,24,1,23,10,1,6,3,0,
3175061006,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,22,0,22,12,0,12,7,1,2,2,2,
3174101004,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,37,0,37,18,1,17,5,0,3,1,1,
3175051003,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,59,1,58,12,1,11,13,3,5,1,4,
3174061005,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,58,1,57,23,2,21,5,0,2,3,0,
3174031003,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,158,0,158,20,1,19,15,3,6,3,3,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,142,2,140,25,1,24,14,2,8,0,4,
3174101003,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,85,0,85,19,2,17,24,4,10,2,8,
3173071004,DKI JAKARTA,JAKARTA BARAT,PALMERAH,JATI PULO,86,2,84,42,4,38,35,12,11,1,11,
3171061002,DKI JAKARTA,JAKARTA PUSAT,MENTENG,PEGANGSAAN,85,1,84,11,0,11,27,6,12,1,8,
3173021002,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,43,1,42,24,1,23,11,2,6,1,2,
3173021006,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,59,0,59,13,0,13,12,3,5,2,2,
3175041001,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,47,2,45,12,1,11,13,2,6,2,3,
3173011005,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,187,2,185,23,4,19,27,5,9,6,7,
3173021007,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,85,0,85,48,1,47,17,3,12,2,0,
3174091003,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,122,5,117,31,2,29,8,2,5,1,0,
3171051003,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,214,1,213,59,0,59,12,1,8,2,1,
3173021005,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,81,0,81,24,3,21,32,8,11,3,10,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,60,0,60,4,1,3,33,11,8,6,8,
3174021002,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,20,0,20,8,2,6,4,0,1,2,1,
3173081006,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,46,4,42,16,1,15,26,5,9,0,12,
3173081005,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,JOGLO,59,0,59,22,1,21,24,6,5,1,12,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,58,0,58,15,0,15,12,4,5,0,3,
3173081002,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,53,1,52,22,2,20,19,3,12,0,4,
3174051004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,81,1,80,19,0,19,30,6,15,0,9,
3174081001,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PANCORAN,148,0,148,20,2,18,16,5,9,2,0,
3174041001,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,103,1,102,23,1,22,11,1,6,2,2,
3175081002,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,PINANG RANTI,63,0,63,15,1,14,14,4,4,2,4,
3174051003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,44,1,43,30,2,28,21,9,6,2,4,
3171071001,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,9,0,9,1,0,1,5,0,4,1,0,
3175081005,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,31,0,31,6,0,6,17,3,9,3,2,
3175061005,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PULO GEBANG,100,0,100,23,1,22,30,7,12,2,9,
3174081004,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,121,0,121,15,0,15,7,0,6,0,1,
3174041007,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,87,2,85,22,3,19,19,2,10,0,7,
3174041002,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,88,1,87,32,3,29,13,1,7,2,3,
3174041003,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,56,0,56,29,1,28,12,1,7,2,2,
3175021003,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,50,0,50,11,0,11,21,7,9,2,3,
3171021001,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,58,3,55,23,0,23,17,5,7,0,5,
3171011003,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,59,0,59,14,1,13,18,2,13,2,1,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,17,0,17,11,0,11,6,1,4,1,0,
3171061004,DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,21,0,21,6,0,6,12,3,6,2,1,
3175051005,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,PEKAYON,50,0,50,24,0,24,6,0,3,1,2,
3171021004,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,57,0,57,28,1,27,19,5,9,5,0,
3172041002,DKI JAKARTA,JAKARTA UTARA,CILINCING,SUKAPURA,109,2,107,20,1,19,24,2,5,1,16,
3174021004,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET,54,1,53,9,1,8,17,3,12,0,2,
3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,113,9,104,27,1,26,20,2,13,3,2,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,54,1,53,12,0,12,12,1,10,0,1,
3174011004,DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,65,0,65,24,0,24,27,8,4,0,15,
3173071002,DKI JAKARTA,JAKARTA BARAT,PALMERAH,SLIPI,105,3,102,34,0,34,19,5,8,1,5,
3174091004,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,112,3,109,21,2,19,17,3,6,0,8,
3173071005,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KEMANGGISAN,90,2,88,25,2,23,23,4,13,2,4,
3175101002,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,39,0,39,12,1,11,16,5,8,0,3,
3171011005,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,42,0,42,9,1,8,7,0,6,1,0,
3171041003,DKI JAKARTA,JAKARTA PUSAT,SENEN,PASEBAN,144,1,143,23,0,23,38,12,10,1,15,
3175081003,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,KEBON PALA,56,1,55,14,2,12,7,2,2,0,3,
3171031005,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,54,0,54,8,0,8,10,4,4,0,2,
3171071005,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,239,1,238,51,4,47,74,5,36,5,28,
3171041002,DKI JAKARTA,JAKARTA PUSAT,SENEN,KENARI,93,1,92,9,0,9,31,6,4,0,21,
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,230,1,229,17,1,16,29,6,6,0,17,
3173081003,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,52,1,51,15,1,14,20,4,5,2,9,
3172021005,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,130,2,128,36,0,36,32,4,10,0,18,
3174081002,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,KALIBATA,141,0,141,27,2,25,19,4,7,1,7,
3173011001,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,193,2,191,15,1,14,32,9,9,0,14,
3174021005,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,82,1,81,15,1,14,16,4,9,2,1,
3174091006,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,63,1,62,27,2,25,8,1,4,0,3,
3171081004,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,123,0,123,17,2,15,21,4,5,5,7,
3175091002,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,114,0,114,31,1,30,15,5,7,2,1,
3173061004,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KAMAL,71,0,71,20,6,14,4,2,1,1,0,
3175021001,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,84,0,84,26,0,26,20,2,7,2,9,
3171031008,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,49,1,48,15,0,15,11,1,5,0,5,
3174031004,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,94,0,94,15,1,14,19,6,9,1,3,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,78,0,78,24,1,23,11,3,5,0,3,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,45,0,45,9,1,8,15,2,8,1,4,
3174071008,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,27,1,26,5,1,4,4,0,2,0,2,
