id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,otg,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3173051006,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,129,4,22,103,20,4,16,17,4,9,0,4,
3171031002,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,69,0,41,28,22,1,21,35,3,13,5,14,
3173081001,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,59,6,21,32,23,5,18,25,3,11,1,10,
3171081001,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,140,1,36,103,28,0,28,24,5,11,3,5,
3175021002,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,82,0,53,29,18,2,16,9,1,5,3,0,
3172031002,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,194,4,80,110,65,6,59,37,4,9,4,20,
3174041006,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,106,1,34,71,25,1,24,22,6,7,2,7,
3173011002,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,85,1,24,60,20,4,16,17,2,11,1,3,
3175071003,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,KLENDER,158,0,113,45,22,0,22,49,10,17,8,14,
3175011003,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,210,0,28,182,21,0,21,29,11,11,1,6,
3172051002,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,1143,27,254,862,65,10,55,147,26,27,7,87,
3172021004,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,40,0,22,18,24,1,23,10,0,5,3,2,
3172011004,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,86,0,32,54,12,3,9,26,8,10,2,6,
3175011006,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,182,3,49,130,27,1,26,41,5,21,3,12,
3174051005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,69,2,23,44,26,1,25,22,3,10,2,7,
3173071003,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,109,0,47,62,38,7,31,38,7,8,4,19,
3174101005,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,61,2,34,25,21,3,18,17,4,7,3,3,
3175091001,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,165,4,47,114,36,2,34,24,3,10,5,6,
3172061002,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,270,0,89,181,47,0,47,27,4,16,2,5,
3173061003,DKI JAKARTA,JAKARTA BARAT,KALI DERES,TEGAL ALUR,115,1,40,74,38,6,32,16,2,10,1,3,
3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,123,1,30,92,25,6,19,46,9,10,3,24,
3174041005,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,164,2,46,116,36,2,34,43,6,12,4,21,
3174051006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,104,1,26,77,42,0,42,13,4,4,4,1,
3175071002,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,248,3,205,40,45,3,42,67,4,7,4,52,
3175011001,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,36,1,20,15,17,0,17,22,5,9,1,7,
3174071009,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,52,1,20,31,29,0,29,9,3,3,0,3,
3175021005,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,84,2,22,60,16,0,16,27,10,10,1,6,
3174091001,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,168,4,69,95,40,4,36,19,1,10,1,7,
3174061003,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,PONDOK LABU,108,1,39,68,52,6,46,29,4,16,1,8,
