id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,odp_meninggal,pdp,masih_dirawat,pulang_dan_sehat,pdp_meninggal,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,9199,8,9132,59,5323,77,3666,1580,1209,395,116,21,677,
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,11779,173,11595,11,3196,186,2941,69,1752,32,1529,77,114,
3173061005,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,470,1,468,1,76,1,69,6,50,6,37,4,3,
3174071006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,22,0,22,0,17,3,14,0,16,0,16,0,0,
3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,587,2,584,1,70,5,62,3,64,5,45,7,7,
3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,472,2,469,1,165,1,164,0,41,1,30,6,4,
3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,303,0,303,0,42,2,38,2,76,10,31,1,34,
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,253,4,249,0,60,1,58,1,51,5,32,7,7,
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,665,1,662,2,93,10,82,1,48,6,29,5,8,
3174051002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,372,8,364,0,57,8,48,1,46,9,26,9,2,
3175071004,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,235,1,234,0,32,1,31,0,61,5,41,4,11,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,332,0,332,0,78,2,73,3,38,7,22,3,6,
3173081004,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,145,1,144,0,52,4,46,2,28,3,20,3,2,
3174011003,DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,204,0,201,3,36,1,32,3,30,1,19,3,7,
3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,504,6,498,0,131,2,127,2,54,3,40,5,6,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,226,0,226,0,22,1,20,1,21,0,13,2,6,
3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,64,0,64,0,13,1,12,0,24,2,20,2,0,
3172021006,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,708,2,706,0,154,3,150,1,169,14,118,11,26,
3172011005,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,113,3,110,0,51,2,47,2,45,6,31,5,3,
3174091005,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,128,2,126,0,48,4,44,0,25,2,13,2,8,
3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,453,1,450,2,51,4,46,1,51,11,31,5,4,
3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,190,1,188,1,27,0,27,0,32,1,25,0,6,
3174011001,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET TIMUR,136,1,135,0,18,2,16,0,17,1,11,3,2,
3174061002,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,182,1,181,0,40,0,38,2,33,4,16,6,7,
