id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,perawatan_rs,isolasi_di_rumah,probable_meninggal,selesai_isolasi,pelaku_perjalanan,perawatan_rs,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,isolasi_di_rumah,meninggal,selesai_isolasi,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,575,4,30,0,541,4,0,0,0,4,14,0,2,12,774,36,738,10,0,0,10,369,4,347,4,14,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,563,5,26,2,530,3,0,0,1,2,1,0,0,1,577,19,558,27,0,0,27,220,1,208,4,7,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,378,2,47,1,328,7,0,0,0,7,5,0,0,5,692,42,650,24,0,0,24,219,5,203,3,8,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,145,6,7,1,131,2,1,0,0,1,1,0,0,1,234,19,215,6,0,0,6,203,11,181,3,8,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,552,1,50,1,500,0,0,0,0,0,4,0,0,4,831,99,732,19,0,0,19,230,7,203,3,17,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,399,0,27,2,370,5,0,0,1,4,18,0,0,18,883,105,778,8,0,0,8,243,12,203,2,26,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,525,5,41,1,478,0,0,0,0,0,5,0,0,5,477,28,449,19,0,0,19,244,3,232,2,7,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,672,3,69,1,599,3,0,0,0,3,3,0,0,3,1360,135,1225,28,0,0,28,362,8,317,6,31,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,533,3,29,0,501,2,0,0,0,2,4,0,0,4,980,92,888,11,0,0,11,354,13,289,9,43,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,498,4,45,3,446,1,0,0,0,1,8,0,0,8,736,77,659,40,0,0,40,388,16,316,10,46,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,952,3,103,2,844,5,0,0,0,5,9,0,0,9,1826,184,1642,27,0,0,27,488,17,418,11,42,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,492,1,30,3,458,2,0,0,0,2,15,0,0,15,733,50,683,17,0,0,17,273,8,250,8,7,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,298,4,15,2,277,2,1,0,0,1,13,0,0,13,670,23,647,18,0,0,18,231,2,208,6,15,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,525,3,112,1,409,3,0,0,0,3,0,0,0,0,930,103,827,55,0,0,55,425,5,390,7,23,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,559,4,61,2,492,3,0,0,1,2,6,0,0,6,1041,100,941,51,0,0,51,363,6,330,9,18,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,493,3,65,0,425,1,0,0,0,1,6,0,0,6,1223,139,1084,22,0,0,22,399,8,361,6,24,
3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,306,2,17,0,287,0,0,0,0,0,1,0,0,1,515,37,478,10,0,0,10,157,3,142,3,9,
3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,800,3,66,2,729,1,0,0,0,1,7,0,0,7,1235,76,1159,39,0,0,39,515,8,463,17,27,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,1176,4,98,2,1072,10,2,0,0,8,21,0,0,21,2283,94,2189,51,0,0,51,763,15,708,16,24,
3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,803,3,59,1,740,1,0,0,0,1,13,0,1,12,1760,92,1668,61,0,0,61,423,7,382,6,28,
3173011001,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,1244,13,318,1,912,0,0,0,0,0,6,0,0,6,2170,316,1854,14,0,0,14,633,8,579,11,35,
3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,1142,10,57,7,1068,2,0,0,0,2,4,0,0,4,2321,129,2192,20,0,0,20,850,19,766,17,48,
3175091002,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,1126,9,98,4,1015,1,0,0,0,1,30,0,0,30,2220,87,2133,94,0,0,94,459,17,392,9,41,
3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,362,6,16,2,338,0,0,0,0,0,12,0,0,12,753,67,686,14,0,0,14,240,10,208,8,14,
3174091003,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,896,5,68,1,822,2,0,0,0,2,12,0,0,12,984,114,870,15,0,0,15,276,6,253,4,13,
3175051003,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,1033,6,78,3,946,0,0,0,0,0,5,0,0,5,682,38,644,12,0,0,12,398,8,359,10,21,
3171061003,DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,196,3,12,0,181,2,1,0,0,1,2,0,0,2,269,27,242,11,0,0,11,95,3,84,2,6,
3174081006,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,230,1,11,0,218,1,0,0,0,1,10,0,0,10,337,24,313,1,0,0,1,109,5,93,3,8,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,1803,8,217,5,1573,3,2,0,0,1,99,0,0,99,2262,195,2067,42,0,0,42,600,21,506,10,63,
3174041003,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,610,3,37,1,569,5,0,0,0,5,17,0,0,17,621,62,559,88,0,0,88,322,6,282,8,26,
3175101002,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,448,4,28,1,415,1,0,0,0,1,3,0,0,3,788,60,728,22,0,0,22,216,8,199,3,6,
3175041006,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,426,3,33,1,389,1,0,0,0,1,7,0,0,7,1119,112,1007,49,0,0,49,400,17,358,8,17,
3172041001,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,770,11,56,1,702,3,2,0,0,1,7,0,1,6,1338,38,1300,109,0,0,109,461,4,436,12,9,
3175101001,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,689,9,65,2,613,3,0,0,1,2,8,0,0,8,850,61,789,35,0,0,35,281,11,250,4,16,
3174091006,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,709,2,33,0,674,5,0,0,0,5,1,0,0,1,1018,80,938,9,0,0,9,346,5,313,3,25,
3174061005,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,444,6,44,1,393,2,0,0,0,2,46,0,0,46,744,94,650,6,0,0,6,195,8,165,8,14,
3174071010,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,866,3,92,3,768,0,0,0,0,0,10,0,0,10,735,53,682,6,0,0,6,240,4,210,4,22,
3175021003,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,428,5,26,2,395,1,0,0,0,1,3,0,0,3,1199,112,1087,46,0,0,46,452,20,402,16,14,
3175031007,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,382,4,23,2,353,2,0,0,0,2,3,0,0,3,771,80,691,19,0,0,19,318,8,276,2,32,
3175031008,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,532,4,17,0,511,2,0,0,0,2,3,0,0,3,1178,85,1093,24,0,0,24,467,7,435,7,18,
3175031005,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,358,10,21,2,325,1,0,0,0,1,7,0,0,7,709,51,658,25,0,0,25,277,20,238,6,13,
3175081005,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,490,5,26,2,457,4,0,0,0,4,5,0,0,5,925,79,846,21,0,0,21,341,6,321,7,7,
3175031006,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,595,7,38,1,549,5,0,0,0,5,10,0,0,10,1241,124,1117,33,0,0,33,567,12,517,7,31,
3174051003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,454,6,27,4,417,6,0,0,0,6,6,0,0,6,662,46,616,11,0,0,11,324,12,283,5,24,
3175091001,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,1305,9,138,9,1149,4,1,0,0,3,32,0,0,32,1989,74,1915,45,0,0,45,614,12,555,17,30,
3175041003,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,DUKUH,417,1,48,1,367,1,1,0,0,0,1,0,0,1,978,56,922,15,0,0,15,236,7,209,5,15,
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,1065,14,49,3,999,18,0,0,0,18,5,0,0,5,1493,88,1405,38,0,0,38,705,16,647,16,26,
3174081004,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,579,6,38,0,535,2,0,0,0,2,6,0,0,6,865,58,807,4,0,0,4,260,7,235,2,16,
3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,817,20,89,2,706,4,0,0,0,4,12,0,0,12,1622,136,1486,74,0,0,74,547,13,482,14,38,
3173011002,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,898,5,80,3,810,1,0,0,0,1,4,0,0,4,1472,98,1374,11,0,0,11,593,16,544,8,25,
3171011006,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,248,1,12,3,232,0,0,0,0,0,1,0,0,1,621,37,584,7,0,0,7,232,5,208,8,11,
3173041011,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI SELATAN,235,3,19,1,212,0,0,0,0,0,2,0,0,2,222,9,213,4,0,0,4,98,2,90,3,3,
3173041003,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI UTARA,269,4,10,2,253,1,0,0,0,1,2,0,0,2,289,13,276,5,0,0,5,162,0,153,4,5,
3171081003,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,GALUR,264,0,10,0,254,4,0,0,0,4,3,0,0,3,611,22,589,50,0,0,50,229,1,201,11,16,
3171011001,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,183,1,53,0,129,1,0,0,0,1,17,0,0,17,528,32,496,6,0,0,6,220,2,197,1,20,
3174061004,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,302,3,22,0,277,2,0,0,0,2,20,0,0,20,865,70,795,4,0,0,4,201,3,179,6,13,
3174071009,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,892,5,88,2,797,0,0,0,0,0,3,0,0,3,819,48,771,8,0,0,8,298,10,265,6,17,
3175051001,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,GEDONG,930,9,45,0,876,0,0,0,0,0,5,0,1,4,640,46,594,25,0,0,25,355,6,326,5,18,
3171071001,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,91,0,4,1,86,0,0,0,0,0,6,0,0,6,379,24,355,0,0,0,0,121,1,115,2,3,
3173031007,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,139,1,8,0,130,0,0,0,0,0,1,0,0,1,254,44,210,1,0,0,1,53,1,47,2,3,
3171061004,DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,105,4,5,1,95,0,0,0,0,0,13,0,0,13,256,23,233,7,0,0,7,75,3,63,3,6,
3173021001,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,662,5,62,4,591,1,0,0,0,1,45,0,0,45,1293,131,1162,38,0,0,38,322,11,290,2,19,
3174051005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,588,4,43,5,536,0,0,0,0,0,12,0,0,12,831,57,774,14,0,0,14,391,12,347,7,25,
3174051004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,582,8,43,4,527,0,0,0,0,0,24,0,0,24,833,49,784,19,0,0,19,464,14,398,13,39,
3174021007,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,GUNTUR,75,0,2,0,73,0,0,0,0,0,1,0,0,1,335,69,266,1,0,0,1,65,0,62,1,2,
3174071002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,364,4,27,3,330,0,0,0,0,0,7,0,0,7,1011,116,895,0,0,0,0,183,40,137,4,2,
3171031005,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,408,1,46,1,360,0,0,0,0,0,5,0,0,5,935,180,755,2,0,0,2,230,3,218,7,2,
3171021004,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,346,1,17,1,327,2,0,0,0,2,7,0,0,7,662,45,617,12,0,0,12,212,5,192,11,4,
3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,311,1,18,2,290,0,0,0,0,0,6,0,0,6,1193,503,690,10,0,0,10,585,22,547,7,9,
3171031003,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,447,2,35,3,407,1,0,0,0,1,6,0,0,6,698,49,649,35,0,0,35,301,4,279,9,9,
3174091001,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,1272,10,75,2,1185,8,0,0,0,8,8,0,0,8,1519,133,1386,20,0,0,20,541,9,479,7,46,
3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,468,3,34,1,430,0,0,0,0,0,9,0,0,9,1178,82,1096,43,0,0,43,332,8,305,6,13,
3174041002,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,753,7,94,2,650,0,0,0,0,0,4,0,0,4,923,133,790,72,0,0,72,322,7,276,6,33,
3173071004,DKI JAKARTA,JAKARTA BARAT,PALMERAH,JATI PULO,678,4,30,4,640,2,0,0,0,2,7,0,1,6,943,68,875,66,0,0,66,375,11,339,10,15,
3175061001,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,JATINEGARA,1077,3,181,3,890,1,0,0,0,1,4,0,0,4,2023,227,1796,52,0,0,52,753,14,693,11,35,
