id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,perawatan_rs,isolasi_di_rumah,probable_meninggal,selesai_isolasi,pelaku_perjalanan,perawatan_rs,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,isolasi_di_rumah,meninggal,selesai_isolasi,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,515,2,22,0,491,4,0,0,0,4,10,0,0,10,701,35,666,10,0,0,10,339,0,321,4,14,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,440,2,24,2,412,1,0,0,1,0,1,0,0,1,510,10,500,26,0,0,26,199,2,175,4,18,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,314,3,26,1,284,6,3,0,0,3,5,0,0,5,593,44,549,23,0,0,23,192,2,168,3,19,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,111,4,7,1,99,1,0,0,0,1,1,0,0,1,205,49,156,6,0,0,6,172,4,70,2,96,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,461,6,40,1,414,0,0,0,0,0,4,0,0,4,693,46,647,17,0,0,17,188,3,163,3,19,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,328,4,25,2,297,5,0,0,1,4,18,0,0,18,723,28,695,8,0,0,8,194,2,181,2,9,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,448,2,28,1,417,0,0,0,0,0,5,0,0,5,424,6,418,18,0,0,18,212,6,191,0,15,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,565,8,43,1,513,3,0,0,0,3,3,0,0,3,1170,57,1113,27,0,0,27,287,3,264,6,14,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,481,2,22,0,457,2,0,0,0,2,4,0,0,4,864,29,835,10,0,0,10,277,3,238,8,28,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,422,5,26,3,388,1,0,0,0,1,8,0,0,8,633,29,604,37,0,0,37,301,2,276,10,13,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,791,3,34,2,752,5,1,0,0,4,9,0,0,9,1577,59,1518,26,0,0,26,389,16,335,9,29,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,429,3,23,3,400,2,0,0,0,2,14,0,1,13,657,39,618,14,0,0,14,249,2,230,8,9,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,265,3,15,2,245,1,0,0,0,1,13,0,0,13,635,26,609,16,0,0,16,206,2,184,4,16,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,386,4,25,1,356,3,1,0,0,2,0,0,0,0,789,60,729,47,0,0,47,349,6,285,5,53,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,464,4,50,2,408,3,0,0,1,2,6,0,0,6,895,50,845,45,0,0,45,315,5,284,8,18,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,385,3,35,0,347,1,0,0,0,1,6,0,0,6,1046,54,992,22,0,0,22,347,9,315,6,17,
3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,267,3,17,0,247,0,0,0,0,0,1,0,0,1,455,25,430,9,0,0,9,140,4,126,3,7,
3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,704,9,26,2,667,1,0,0,0,1,7,0,0,7,1112,45,1067,36,0,0,36,463,2,422,17,22,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,956,4,18,2,932,8,4,0,0,4,21,0,0,21,2124,65,2059,51,0,0,51,704,2,670,15,17,
