id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,perawatan_rs,isolasi_di_rumah,probable_meninggal,selesai_isolasi,pelaku_perjalanan,perawatan_rs,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,isolasi_di_rumah,meninggal,selesai_isolasi,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,515,2,27,0,486,4,0,0,0,4,10,0,0,10,701,39,662,10,0,0,10,339,0,317,4,18,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,440,3,26,2,409,1,0,0,1,0,1,0,1,0,510,19,491,26,0,0,26,197,1,172,4,20,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,314,4,26,1,283,5,2,0,0,3,5,0,0,5,592,53,539,23,0,0,23,187,8,159,3,17,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,111,4,7,1,99,1,0,0,0,1,1,0,0,1,205,52,153,6,0,0,6,171,5,67,2,97,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,461,6,43,1,411,0,0,0,0,0,4,0,0,4,693,51,642,17,0,0,17,182,3,162,3,14,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,328,5,26,2,295,5,0,0,1,4,18,0,0,18,723,36,687,8,0,0,8,193,3,178,2,10,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,448,3,38,1,406,0,0,0,0,0,5,0,0,5,424,10,414,18,0,0,18,212,6,191,0,15,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,565,8,47,1,509,3,0,0,0,3,3,0,0,3,1169,77,1092,27,0,0,27,285,4,259,6,16,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,479,2,23,0,454,2,0,0,0,2,4,0,0,4,864,34,830,10,0,0,10,274,2,236,8,28,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,422,5,32,3,382,1,0,0,0,1,8,0,0,8,633,42,591,37,0,0,37,300,3,272,10,15,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,791,9,43,2,737,5,1,0,0,4,9,0,0,9,1576,65,1511,26,0,0,26,380,17,326,9,28,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,427,4,25,3,395,2,0,0,0,2,14,0,1,13,657,59,598,13,0,0,13,248,4,224,8,12,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,265,3,15,2,245,1,0,0,0,1,13,0,0,13,635,39,596,16,0,0,16,205,1,181,4,19,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,386,4,26,1,355,3,1,0,0,2,0,0,0,0,788,75,713,47,0,0,47,346,6,275,5,60,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,464,4,52,2,406,3,0,0,1,2,6,0,0,6,893,69,824,45,0,0,45,313,3,282,8,20,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,385,3,38,0,344,1,0,0,0,1,6,0,0,6,1046,58,988,22,0,0,22,344,7,314,6,17,
3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,267,3,18,0,246,0,0,0,0,0,1,0,0,1,455,28,427,9,0,0,9,140,5,125,3,7,
3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,704,9,32,2,661,1,0,0,0,1,7,0,0,7,1111,54,1057,35,0,0,35,461,2,416,17,26,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,956,5,23,2,926,8,4,0,0,4,21,0,0,21,2123,103,2020,51,0,0,51,700,4,660,15,21,
3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,676,4,23,1,648,1,0,0,0,1,12,0,0,12,1498,42,1456,59,0,0,59,375,2,350,6,17,
3173011001,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,798,11,47,1,739,0,0,0,0,0,6,0,0,6,1465,78,1387,13,0,0,13,527,2,446,9,70,
3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,990,9,70,7,904,2,0,0,0,2,4,0,0,4,1987,122,1865,18,0,0,18,729,3,641,17,68,
3175091002,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,959,4,44,4,907,1,0,0,0,1,30,0,0,30,2033,51,1982,92,0,0,92,369,5,330,8,26,
3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,321,3,13,2,303,0,0,0,0,0,10,0,0,10,652,25,627,13,0,0,13,202,2,187,7,6,
3174091003,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,753,5,49,1,698,2,0,0,0,2,12,0,0,12,839,92,747,14,0,0,14,229,8,189,4,28,
3175051003,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,899,6,75,3,815,0,0,0,0,0,4,0,1,3,597,24,573,10,0,0,10,335,2,299,9,25,
3171061003,DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,171,5,10,0,156,0,0,0,0,0,2,0,0,2,230,11,219,11,0,0,11,77,1,64,3,9,
3174081006,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,201,1,6,0,194,1,0,0,0,1,10,0,0,10,291,7,284,1,0,0,1,80,5,64,3,8,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,1389,8,192,5,1184,1,0,0,0,1,97,0,0,97,1734,123,1611,42,0,0,42,436,10,382,8,36,
3174041003,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,543,3,35,1,504,5,0,0,0,5,17,0,0,17,513,28,485,86,0,0,86,273,4,251,8,10,
3175101002,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,392,3,21,1,367,1,0,0,0,1,3,0,0,3,682,35,647,21,0,0,21,191,2,176,2,11,
3175041006,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,354,3,20,1,330,0,0,0,0,0,7,0,1,6,943,71,872,48,0,0,48,343,12,294,8,29,
3172041001,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,657,9,32,1,615,1,0,0,0,1,6,0,0,6,1194,33,1161,103,0,0,103,422,4,391,11,16,
3175101001,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,579,6,31,2,540,3,0,0,1,2,7,0,0,7,747,46,701,34,0,0,34,233,1,215,3,14,
3174091006,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,639,2,51,0,586,4,2,0,0,2,1,0,0,1,890,62,828,8,0,0,8,287,2,255,3,27,
3174061005,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,353,5,36,1,311,2,0,0,0,2,46,0,0,46,608,59,549,6,0,0,6,158,5,136,7,10,
3174071010,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,741,5,100,3,633,0,0,0,0,0,9,0,0,9,653,61,592,6,0,0,6,197,4,172,4,17,
3175021003,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,368,5,22,2,339,1,0,0,0,1,3,0,0,3,1027,71,956,41,0,0,41,376,8,341,13,14,
3175031007,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,315,4,11,2,298,2,0,0,0,2,2,0,0,2,663,41,622,18,0,0,18,252,3,233,2,14,
