id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,perawatan_rs,isolasi_di_rumah,probable_meninggal,selesai_isolasi,pelaku_perjalanan,perawatan_rs,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,isolasi_di_rumah,meninggal,selesai_isolasi,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,478,2,14,0,462,4,0,0,0,4,10,0,0,10,640,21,619,10,0,0,10,327,3,296,4,24,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,419,2,21,2,394,1,0,0,1,0,0,0,0,0,502,22,480,26,0,0,26,186,2,168,4,12,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,292,5,18,1,268,3,2,0,0,1,5,0,0,5,562,38,524,23,0,0,23,177,10,152,3,12,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,105,4,3,1,97,1,0,0,0,1,0,0,0,0,168,41,127,6,0,0,6,75,2,40,2,31,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,424,4,33,1,386,0,0,0,0,0,4,0,0,4,654,49,605,17,0,0,17,172,8,148,3,13,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,308,2,26,2,278,5,0,0,1,4,18,0,0,18,700,32,668,8,0,0,8,185,2,170,2,11,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,427,6,37,1,383,0,0,0,0,0,5,0,0,5,409,10,399,18,0,0,18,196,4,181,0,11,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,532,8,37,1,486,3,0,0,0,3,3,0,0,3,1116,90,1026,26,0,0,26,277,7,237,5,28,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,457,6,20,0,431,2,1,0,0,1,4,0,0,4,841,45,796,10,0,0,10,253,4,227,8,14,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,398,10,20,3,365,1,0,0,0,1,8,0,0,8,606,69,537,37,0,0,37,288,6,256,10,16,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,755,7,39,2,707,4,0,0,0,4,9,0,0,9,1539,60,1479,26,0,0,26,341,8,302,9,22,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,403,3,13,3,384,2,0,0,0,2,13,0,0,13,608,30,578,13,0,0,13,239,4,209,8,18,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,254,10,14,2,228,1,0,0,0,1,13,0,0,13,616,81,535,16,0,0,16,192,2,174,4,12,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,371,9,44,1,317,2,1,0,0,1,0,0,0,0,747,56,691,47,0,0,47,322,5,261,5,51,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,426,4,37,2,383,3,0,0,1,2,6,0,0,6,869,66,803,45,0,0,45,300,4,267,7,22,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,351,3,22,0,326,1,0,0,0,1,6,0,0,6,1008,195,813,19,0,0,19,334,12,281,6,35,
3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,254,3,12,0,239,0,0,0,0,0,1,0,0,1,443,34,409,9,0,0,9,135,5,109,3,18,
3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,677,4,33,2,638,1,0,0,0,1,7,0,0,7,1069,53,1016,35,0,0,35,437,1,394,17,25,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,928,7,30,2,889,5,2,0,0,3,21,0,1,20,2045,81,1964,51,0,0,51,689,9,643,15,22,
3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,659,7,37,1,614,1,0,0,0,1,12,0,0,12,1469,69,1400,58,0,0,58,363,3,341,6,13,
3173011001,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,758,12,38,1,707,0,0,0,0,0,6,0,0,6,1358,64,1294,13,0,0,13,477,22,394,9,52,
