id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,perawatan_rs,isolasi_di_rumah,probable_meninggal,selesai_isolasi,pelaku_perjalanan,perawatan_rs,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,isolasi_di_rumah,meninggal,selesai_isolasi,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,573,3,37,0,533,4,0,0,0,4,14,0,2,12,773,43,730,10,0,0,10,367,4,345,4,14,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,562,5,27,2,528,1,0,0,1,0,1,0,0,1,575,22,553,27,0,0,27,219,1,205,4,9,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,374,2,45,1,326,7,0,0,0,7,5,0,0,5,689,54,635,24,0,0,24,218,4,203,3,8,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,141,5,5,1,130,2,1,0,0,1,1,0,0,1,233,18,215,6,0,0,6,203,11,181,3,8,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,551,1,61,1,488,0,0,0,0,0,4,0,0,4,812,94,718,19,0,0,19,227,6,203,3,15,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,395,0,36,2,357,5,0,0,1,4,18,0,0,18,875,102,773,8,0,0,8,243,12,202,2,27,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,514,4,33,1,476,0,0,0,0,0,5,0,0,5,473,28,445,19,0,0,19,244,3,229,2,10,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,666,2,72,1,591,3,0,0,0,3,3,0,0,3,1347,127,1220,28,0,0,28,361,9,314,6,32,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,532,3,31,0,498,2,0,0,0,2,4,0,0,4,972,90,882,11,0,0,11,345,13,286,9,37,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,484,4,38,3,439,1,0,0,0,1,8,0,0,8,715,66,649,40,0,0,40,382,14,315,10,43,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,951,6,124,2,819,5,0,0,0,5,9,0,0,9,1813,192,1621,27,0,0,27,484,15,417,11,41,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,491,1,35,3,452,2,0,0,0,2,15,0,0,15,729,48,681,17,0,0,17,271,6,250,8,7,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,298,6,20,2,270,1,0,0,0,1,13,0,0,13,667,27,640,18,0,0,18,230,2,208,5,15,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,524,3,116,1,404,3,0,0,0,3,0,0,0,0,919,104,815,54,0,0,54,420,7,386,7,20,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,555,4,63,2,486,3,0,0,1,2,6,0,0,6,1028,87,941,51,0,0,51,359,9,326,9,15,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,489,2,73,0,414,1,0,0,0,1,6,0,0,6,1218,137,1081,22,0,0,22,399,8,359,6,26,
3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,304,2,22,0,280,0,0,0,0,0,1,0,0,1,509,42,467,10,0,0,10,157,4,141,3,9,
3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,798,3,70,2,723,1,0,0,0,1,7,0,0,7,1231,82,1149,39,0,0,39,513,8,463,17,25,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,1170,3,108,2,1057,9,1,0,0,8,21,0,0,21,2270,92,2178,51,0,0,51,753,15,706,16,16,
3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,795,3,58,1,733,1,0,0,0,1,13,0,1,12,1746,86,1660,61,0,0,61,417,8,380,6,23,
3173011001,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,1232,8,335,1,888,0,0,0,0,0,6,0,0,6,2158,424,1734,14,0,0,14,631,11,573,11,36,
3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,1132,9,59,7,1057,2,0,0,0,2,4,0,0,4,2292,122,2170,20,0,0,20,841,18,760,17,46,
3175091002,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,1099,11,88,4,996,1,0,0,0,1,30,0,0,30,2212,85,2127,94,0,0,94,456,17,387,9,43,
3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,360,6,16,2,336,0,0,0,0,0,12,0,0,12,751,68,683,14,0,0,14,237,10,208,8,11,
3174091003,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,893,5,68,1,819,2,0,0,0,2,12,0,0,12,962,97,865,14,0,0,14,276,7,250,4,15,
3175051003,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,1007,7,75,3,922,0,0,0,0,0,5,0,0,5,677,39,638,12,0,0,12,396,7,359,10,20,
3171061003,DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,196,3,13,0,180,2,2,0,0,0,2,0,0,2,266,26,240,11,0,0,11,95,3,84,2,6,
3174081006,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,229,2,14,0,213,1,0,0,0,1,10,0,0,10,336,26,310,1,0,0,1,102,1,92,3,6,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,1799,10,253,5,1531,3,2,0,0,1,98,0,0,98,2237,211,2026,42,0,0,42,595,21,498,10,66,
3174041003,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,610,4,42,1,563,5,0,0,0,5,17,0,0,17,613,63,550,88,0,0,88,322,6,282,8,26,
3175101002,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,445,5,28,1,411,1,0,0,0,1,3,0,0,3,782,68,714,22,0,0,22,216,8,199,3,6,
3175041006,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,423,2,35,1,385,1,0,0,0,1,7,0,0,7,1112,119,993,49,0,0,49,398,17,357,8,16,
3172041001,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,764,7,67,1,689,3,2,0,0,1,7,0,1,6,1336,41,1295,108,0,0,108,458,4,426,12,16,
3175101001,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,686,9,68,2,607,3,0,0,1,2,8,0,0,8,845,62,783,35,0,0,35,277,11,246,4,16,
