id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan rs,isolasi di rumah,suspek meninggal,selesai isolasi,probable,perawatan rs,probable meninggal,selesai isolasi,pelaku perjalanan,isolasi di rumah,selesai isolasi,kontak erat,isolasi di rumah,selesai isolasi,discarded,positif,dirawat,sembuh,meninggal,self isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,135,6,28,0,101,0,0,0,0,6,1,5,287,37,250,4,43,4,34,0,5,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,190,2,6,1,181,0,0,0,0,0,0,0,286,13,273,21,47,4,33,2,8,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,59,4,2,0,53,0,0,0,0,2,0,2,101,13,88,22,26,3,17,1,5,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,32,0,1,1,30,0,0,0,0,0,0,0,31,3,28,0,7,1,4,1,1,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,107,4,0,1,102,0,0,0,0,2,0,2,117,10,107,14,32,3,19,0,10,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,90,2,0,2,86,0,0,0,0,18,0,18,366,13,353,6,28,3,21,2,2,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,61,10,0,1,50,0,0,0,0,2,0,2,64,9,55,6,16,1,10,0,5,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,128,9,4,0,115,1,0,1,0,1,0,1,222,38,184,24,38,1,29,3,5,
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,11180,17,8,1627,9528,1,0,0,1,122,0,122,6602,106,6496,82,3394,654,864,50,1826,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,155,18,29,0,108,0,0,0,0,2,0,2,221,10,211,4,32,0,27,2,3,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,71,15,10,3,43,0,0,0,0,0,0,0,137,42,95,21,69,1,49,7,12,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,319,8,18,2,291,1,0,0,1,7,0,7,600,86,514,17,65,1,44,6,14,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,88,1,3,3,81,1,0,0,1,13,0,13,198,18,180,8,37,1,22,5,9,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,78,3,5,2,68,0,0,0,0,13,0,13,252,4,248,8,22,1,17,2,2,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,84,1,4,1,78,0,0,0,0,0,0,0,208,13,195,33,24,4,14,1,5,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,76,8,4,2,62,0,0,0,0,3,0,3,223,23,200,23,29,3,18,0,8,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,79,4,21,0,54,0,0,0,0,4,3,1,206,118,88,11,36,3,26,1,6,
3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,68,5,0,0,63,0,0,0,0,0,0,0,63,7,56,8,8,1,4,0,3,
3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,196,6,32,1,157,0,0,0,0,7,4,3,215,64,151,24,75,2,41,7,25,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,390,20,7,1,362,0,0,0,0,7,0,7,925,78,847,35,159,4,65,8,82,
