id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,perawatan_rs,probable_meninggal,selesai_isolasi,pelaku_perjalanan,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,104,4,0,0,100,0,0,0,0,5,0,5,249,4,245,4,39,2,33,0,4,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,180,0,0,1,179,0,0,0,0,0,0,0,272,6,266,22,45,4,29,2,10,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,55,4,0,0,51,0,0,0,0,2,0,2,87,3,84,22,22,1,16,1,4,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,33,0,0,1,32,0,0,0,0,0,0,0,25,0,25,0,6,0,5,1,0,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,104,0,1,1,102,0,0,0,0,2,0,2,106,4,102,14,22,3,15,0,4,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,86,1,0,2,83,0,0,0,0,18,0,18,353,13,340,6,25,0,20,2,3,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,49,3,0,1,45,0,0,0,0,2,0,2,54,2,52,6,14,0,8,0,6,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,118,5,1,0,112,1,0,1,0,1,0,1,184,10,174,24,35,1,26,3,5,
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,11211,0,0,1628,9583,1,0,0,1,124,0,124,6716,47,6669,82,2316,329,536,35,1416,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,124,6,17,0,101,0,0,0,0,2,0,2,209,2,207,4,29,0,25,1,3,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,42,0,0,3,39,0,0,0,0,0,0,0,84,9,75,21,60,2,45,7,6,
