id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,odp_meninggal,pdp,masih_dirawat,pulang_dan_sehat,pdp_meninggal,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,11696,2,11635,59,5313,5,3748,1560,1848,111,512,29,1196,
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,15955,210,15733,12,3461,153,3230,78,2035,11,1783,77,164,
3173061005,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,601,5,595,1,84,2,76,6,54,4,44,4,2,
3174071006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,77,0,77,0,18,1,17,0,16,0,16,0,0,
3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,781,2,778,1,77,6,68,3,79,1,50,7,21,
3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,622,2,619,1,183,2,179,2,47,0,34,7,6,
3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,338,0,338,0,46,0,44,2,93,2,76,2,13,
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,353,1,352,0,66,4,60,2,62,0,46,7,9,
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,1129,3,1124,2,96,2,91,3,58,1,45,4,8,
3174051002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,516,5,511,0,65,4,59,2,51,4,33,9,5,
3175071004,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,322,4,318,0,37,4,33,0,69,2,57,4,6,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,582,0,582,0,81,2,75,4,45,3,30,3,9,
3173081004,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,220,1,219,0,52,0,50,2,45,0,34,3,8,
3174011003,DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,324,0,321,3,38,1,34,3,36,0,28,3,5,
3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,597,4,593,0,151,3,146,2,58,3,43,5,7,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,419,0,419,0,24,1,22,1,22,0,17,2,3,
3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,96,2,94,0,16,2,12,2,31,0,22,2,7,
3172021006,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,1027,2,1025,0,159,2,156,1,177,3,154,11,9,
3172011005,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,236,0,236,0,52,1,47,4,52,4,38,5,5,
3174091005,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,187,3,184,0,53,1,51,1,32,1,19,2,10,
3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,595,0,593,2,55,4,50,1,84,7,38,6,33,
3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,243,1,241,1,30,2,28,0,37,0,32,0,5,
3174011001,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET TIMUR,251,0,251,0,20,2,17,1,20,1,13,3,3,
