id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan rs,isolasi di rumah,suspek meninggal,selesai isolasi,probable,perawatan rs,probable meninggal,selesai isolasi,pelaku perjalanan,isolasi di rumah,selesai isolasi,kontak erat,isolasi di rumah,selesai isolasi,discarded,meninggal,selesai isolasi,positif,dirawat,sembuh,meninggal,self isolation,keterangan
3175041006,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,95,3,18,1,73,0,0,0,0,3,2,1,246,104,142,39,0,39,30,4,18,2,6,
3172041001,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,149,5,13,1,130,0,0,0,0,3,0,3,435,58,377,58,0,58,75,1,52,1,21,
3175101001,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,143,4,10,2,127,0,0,0,0,2,0,2,140,13,127,7,0,7,31,2,23,1,5,
3174091006,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,145,1,11,0,133,1,0,0,1,0,0,0,115,8,107,5,0,5,25,6,17,0,2,
3174061005,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,94,2,1,1,90,0,0,0,0,42,0,42,159,15,144,3,0,3,16,1,6,4,5,
3174071010,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,111,11,0,3,97,0,0,0,0,9,0,9,188,37,151,5,0,5,23,2,16,2,3,
3175021003,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,59,2,0,2,55,0,0,0,0,3,0,3,258,33,225,23,0,23,38,3,23,3,9,
3175031007,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,60,0,2,1,57,0,0,0,0,1,0,1,109,6,103,4,0,4,26,0,17,1,8,
3175031008,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,54,4,3,0,47,0,0,0,0,3,0,3,259,23,236,11,0,11,50,1,41,2,6,
3175031005,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,69,2,1,2,64,0,0,0,0,1,0,1,82,8,74,8,0,8,13,1,10,1,1,
3175081005,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,73,5,4,2,62,0,0,0,0,2,0,2,191,31,160,11,0,11,37,4,26,4,3,
3175031006,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,91,6,1,1,83,0,0,0,0,3,0,3,199,14,185,24,0,24,55,1,40,1,13,
3174051003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,89,2,1,4,82,0,0,0,0,6,1,5,314,26,288,4,0,4,53,1,42,3,7,
3175091001,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,181,10,6,9,156,0,0,0,0,13,4,9,592,85,507,40,0,40,59,1,37,5,16,
3175041003,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,DUKUH,89,5,6,1,77,0,0,0,0,1,0,1,180,72,108,15,0,15,20,0,16,0,4,
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,322,12,1,3,306,2,0,0,2,1,0,1,229,31,198,14,0,14,87,1,61,8,17,
3174081004,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,132,0,4,0,128,0,0,0,0,3,1,2,234,20,214,2,0,2,18,0,14,0,4,
