id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,probable_meninggal,selesai_isolasi,pelaku_perjalanan,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,meninggal,selesai_isolasi,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172041001,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,163,6,14,1,142,0,0,0,4,0,4,543,62,481,58,0,58,75,7,49,1,18,
3175101001,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,148,4,11,2,131,0,0,0,2,0,2,149,15,134,7,0,7,35,3,25,1,6,
3174091006,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,237,4,90,0,143,1,0,1,0,0,0,121,11,110,5,0,5,28,6,18,0,4,
3174061005,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,97,3,2,1,91,0,0,0,42,0,42,165,14,151,3,0,3,18,1,10,4,3,
3174071010,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,114,9,1,3,101,0,0,0,9,0,9,215,56,159,5,0,5,25,2,18,2,3,
3175021003,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,63,2,3,2,56,0,0,0,3,0,3,269,33,236,23,0,23,49,9,28,3,9,
3175031007,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,65,3,2,1,59,0,0,0,1,0,1,114,4,110,4,0,4,28,0,18,1,9,
3175031008,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,57,4,3,0,50,0,0,0,3,0,3,266,17,249,11,0,11,53,1,43,2,7,
3175031005,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,71,1,2,2,66,0,0,0,1,0,1,87,5,82,8,0,8,13,1,10,1,1,
3175081005,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,76,2,4,2,68,0,0,0,2,0,2,202,22,180,11,0,11,49,4,26,4,15,
3175031006,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,96,1,5,1,89,0,0,0,4,0,4,212,19,193,24,0,24,56,2,41,1,12,
3174051003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,97,3,4,4,86,0,0,0,6,0,6,330,23,307,4,0,4,55,2,44,3,6,
3175091001,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,189,8,7,9,165,0,0,0,15,6,9,706,173,533,40,0,40,63,1,41,5,16,
3175041003,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,DUKUH,91,1,7,1,82,0,0,0,1,0,1,194,83,111,15,0,15,21,0,16,0,5,
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,332,13,2,3,314,2,0,2,1,0,1,245,37,208,14,0,14,107,1,67,8,31,
3174081004,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,142,0,3,0,139,0,0,0,3,1,2,255,28,227,2,0,2,19,1,17,0,1,
3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,153,1,5,2,145,0,0,0,7,0,7,537,24,513,61,0,61,113,6,84,7,16,
3173011002,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,140,10,0,3,127,0,0,0,3,0,3,329,17,312,8,0,8,39,4,29,1,5,
3171011006,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,59,8,3,3,45,0,0,0,0,0,0,116,11,105,6,0,6,28,3,18,2,5,
3173041011,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI SELATAN,39,7,1,1,30,0,0,0,1,0,1,57,11,46,3,0,3,18,2,13,1,2,
3173041003,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI UTARA,79,2,3,2,72,0,0,0,1,0,1,93,20,73,1,0,1,28,3,16,3,6,
3171081003,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,GALUR,48,5,0,0,43,0,0,0,2,0,2,169,12,157,42,0,42,43,3,22,5,13,
3171011001,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,28,0,0,0,28,0,0,0,17,0,17,113,15,98,6,0,6,11,1,10,0,0,
3174061004,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,74,2,16,0,56,1,0,1,20,0,20,199,104,95,0,0,0,41,2,11,1,27,
3174071009,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,102,4,1,1,96,0,0,0,2,1,1,290,48,242,0,0,0,32,1,22,2,7,
3175051001,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,GEDONG,261,11,0,0,250,0,0,0,0,0,0,120,19,101,17,0,17,60,8,44,0,8,
3171071001,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,31,0,0,1,30,0,0,0,5,0,5,55,1,54,0,0,0,13,0,12,1,0,
3173031007,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,35,1,2,0,32,0,0,0,0,0,0,57,8,49,0,0,0,6,0,2,1,3,
3171061004,DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,18,0,0,1,17,0,0,0,4,0,4,61,21,40,7,0,7,20,1,16,2,1,
