id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan rs,isolasi di rumah,suspek meninggal,selesai isolasi,probable,perawatan rs,probable meninggal,selesai isolasi,pelaku perjalanan,isolasi di rumah,selesai isolasi,kontak erat,isolasi di rumah,selesai isolasi,discarded,positif,dirawat,sembuh,meninggal,self isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,107,5,1,0,101,0,0,0,0,5,0,5,263,15,248,4,41,2,34,0,5,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,187,1,4,1,181,0,0,0,0,0,0,0,276,5,271,21,46,3,33,2,8,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,59,4,2,0,53,0,0,0,0,2,0,2,101,13,88,22,25,3,17,1,4,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,32,0,1,1,30,0,0,0,0,0,0,0,31,3,28,0,7,1,4,1,1,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,107,4,0,1,102,0,0,0,0,2,0,2,117,11,106,14,32,3,19,0,10,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,90,2,0,2,86,0,0,0,0,18,0,18,366,20,346,6,28,3,20,2,3,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,61,10,0,1,50,0,0,0,0,2,0,2,62,8,54,6,15,1,8,0,6,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,128,9,4,0,115,1,0,1,0,1,0,1,213,35,178,24,37,1,29,3,4,
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,11182,17,8,1627,9530,1,0,0,1,122,0,122,6686,116,6570,82,3289,596,837,49,1807,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,153,18,27,0,108,0,0,0,0,2,0,2,220,10,210,4,32,0,27,2,3,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,62,15,4,3,40,0,0,0,0,0,0,0,117,33,84,21,66,1,49,7,9,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,318,7,18,2,291,1,0,0,1,7,0,7,600,105,495,17,64,1,42,6,15,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,86,1,1,3,81,1,0,0,1,13,0,13,197,19,178,8,37,1,22,5,9,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,76,1,5,2,68,0,0,0,0,13,0,13,249,2,247,8,22,1,17,2,2,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,84,1,4,1,78,0,0,0,0,0,0,0,205,11,194,33,26,4,15,1,6,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,74,8,2,2,62,0,0,0,0,3,0,3,214,22,192,23,28,2,19,0,7,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,79,4,21,0,54,0,0,0,0,4,3,1,203,120,83,11,35,3,26,1,5,
3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,68,5,0,0,63,0,0,0,0,0,0,0,63,9,54,8,8,1,4,0,3,
3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,193,6,29,1,157,0,0,0,0,4,1,3,198,56,142,24,75,2,41,7,25,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,384,15,6,1,362,0,0,0,0,7,0,7,917,114,803,35,142,4,61,8,69,
3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,227,7,1,1,218,0,0,0,0,7,0,7,736,36,700,38,107,1,77,1,28,
3173011001,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,91,6,5,1,79,0,0,0,0,4,0,4,475,32,443,6,53,9,40,2,2,
3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,125,5,4,6,110,1,0,0,1,3,0,3,503,22,481,7,82,5,55,6,16,
3175091002,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,185,8,2,4,171,0,0,0,0,15,9,6,803,101,702,74,37,0,29,2,6,
3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,111,8,0,1,102,0,0,0,0,7,0,7,190,9,181,9,38,1,22,3,12,
3174091003,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,142,4,1,1,136,0,0,0,0,9,0,9,142,9,133,6,32,1,15,1,15,
3175051003,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,179,12,0,3,164,0,0,0,0,0,0,0,177,12,165,3,41,1,23,2,15,
3171061003,DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,42,2,1,0,39,0,0,0,0,0,0,0,111,52,59,8,14,1,10,1,2,
3174081006,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,25,0,0,0,25,0,0,0,0,8,5,3,104,3,101,0,14,0,9,1,4,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,238,4,2,4,228,0,0,0,0,88,0,88,440,16,424,34,68,5,40,3,20,
3174041003,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,86,6,7,1,72,0,0,0,0,17,0,17,95,6,89,5,20,2,11,2,5,
3175101002,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,107,3,3,1,100,0,0,0,0,1,1,0,111,12,99,17,23,2,18,0,3,
3175041006,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,93,7,19,1,66,0,0,0,0,2,1,1,229,90,139,37,30,4,17,2,7,
3172041001,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,142,6,12,1,123,0,0,0,0,3,0,3,391,34,357,56,77,1,48,1,27,
3175101001,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,139,4,8,2,125,0,0,0,0,2,0,2,135,14,121,7,29,2,21,1,5,
3174091006,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,133,2,0,0,131,1,0,0,1,0,0,0,109,4,105,5,25,6,17,0,2,
3174061005,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,89,1,0,1,87,0,0,0,0,41,0,41,153,13,140,3,16,1,5,4,6,
3174071010,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,105,5,0,3,97,0,0,0,0,9,0,9,175,25,150,5,23,2,16,2,3,
3175021003,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,59,4,1,2,52,0,0,0,0,3,0,3,245,24,221,22,37,3,22,3,9,
3175031007,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,60,1,3,1,55,0,0,0,0,1,0,1,108,8,100,4,23,0,16,1,6,
3175031008,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,47,3,1,0,43,0,0,0,0,3,0,3,240,23,217,11,50,1,41,2,6,
3175031005,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,66,4,0,2,60,0,0,0,0,1,0,1,72,7,65,6,12,1,9,1,1,
3175081005,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,69,4,3,2,60,0,0,0,0,2,0,2,173,24,149,11,36,3,24,4,5,
3175031006,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,89,6,1,1,81,0,0,0,0,3,0,3,193,11,182,24,51,0,38,1,12,
3174051003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,86,5,0,4,77,0,0,0,0,6,1,5,304,20,284,4,52,0,40,3,9,
3175091001,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,177,9,6,9,153,0,0,0,0,13,4,9,508,64,444,40,48,1,35,5,7,
3175041003,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,DUKUH,85,8,3,1,73,0,0,0,0,1,0,1,126,25,101,15,20,0,15,0,5,
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,312,11,7,2,292,2,0,0,2,1,0,1,210,22,188,13,84,1,57,8,18,
3174081004,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,84,0,1,0,83,0,0,0,0,0,0,0,189,7,182,2,18,1,11,0,6,
3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,145,9,2,2,132,0,0,0,0,7,0,7,509,12,497,61,103,5,64,6,28,
3173011002,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,131,5,2,3,121,0,0,0,0,3,0,3,309,19,290,8,45,2,26,1,16,
3171011006,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,47,5,0,3,39,0,0,0,0,0,0,0,105,5,100,5,26,1,16,2,7,
3173041011,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI SELATAN,35,6,0,1,28,0,0,0,0,1,0,1,45,0,45,3,15,2,8,0,5,
3173041003,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI UTARA,77,3,6,2,66,0,0,0,0,1,0,1,68,4,64,1,21,0,14,3,4,
3171081003,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,GALUR,40,2,0,0,38,0,0,0,0,2,0,2,161,19,142,42,41,2,9,5,25,
3171011001,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,28,0,0,0,28,0,0,0,0,17,0,17,98,3,95,6,11,1,9,0,1,
3174061004,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,56,1,2,0,53,1,0,0,1,20,0,20,119,28,91,0,16,0,7,1,8,
3174071009,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,100,8,0,1,91,0,0,0,0,1,0,1,266,38,228,0,29,2,17,1,9,
3175051001,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,GEDONG,253,30,0,0,223,0,0,0,0,0,0,0,105,12,93,17,59,7,41,0,11,
3171071001,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,30,0,0,1,29,0,0,0,0,5,0,5,50,0,50,0,21,0,13,1,7,
3173031007,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,33,0,3,0,30,0,0,0,0,0,0,0,49,18,31,0,4,0,2,1,1,
3171061004,DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,18,0,0,1,17,0,0,0,0,4,0,4,59,22,37,7,20,1,16,2,1,
3173021001,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,110,3,1,3,103,0,0,0,0,39,0,39,364,7,357,30,47,1,33,0,13,
3174051005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,91,4,1,3,83,1,0,1,0,11,0,11,314,27,287,3,46,3,32,5,6,
3174051004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,134,4,1,4,125,0,0,0,0,23,0,23,326,12,314,12,90,2,55,2,31,
3174021007,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,GUNTUR,17,1,1,0,15,0,0,0,0,0,0,0,49,6,43,1,6,1,5,0,0,
3174071002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,42,0,0,3,39,0,0,0,0,7,0,7,135,13,122,0,13,1,10,1,1,
3171031005,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,116,4,2,1,109,0,0,0,0,2,0,2,155,8,147,1,18,0,13,2,3,
3171021004,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,92,3,1,1,87,0,0,0,0,2,1,1,136,13,123,4,30,1,17,4,8,
3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,52,6,2,2,42,0,0,0,0,2,0,2,100,28,72,7,40,2,30,3,5,
3171031003,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,134,9,14,2,109,0,0,0,0,5,2,3,164,26,138,25,67,2,32,5,28,
3174091001,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,264,6,2,1,255,1,0,0,1,5,0,5,262,23,239,8,57,4,33,2,18,
3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,84,11,1,1,71,0,0,0,0,4,0,4,231,26,205,18,54,0,34,0,20,
3174041002,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,123,4,1,2,116,0,0,0,0,2,0,2,242,95,147,12,32,3,20,3,6,
3173071004,DKI JAKARTA,JAKARTA BARAT,PALMERAH,JATI PULO,172,8,2,4,158,0,0,0,0,2,0,2,311,26,285,57,83,1,63,2,17,
3175061001,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,JATINEGARA,127,7,1,3,116,0,0,0,0,2,0,2,296,23,273,30,52,1,35,3,13,
3175021004,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,17,0,2,0,15,0,0,0,0,3,0,3,85,4,81,3,8,2,5,0,1,
3173021004,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,92,4,1,4,83,0,0,0,0,22,4,18,357,55,302,6,43,2,30,4,7,
3173021006,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,142,0,1,2,139,0,0,0,0,4,0,4,348,93,255,14,27,0,18,2,7,
3173041006,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,242,7,31,1,203,0,0,0,0,0,0,0,203,43,160,7,100,1,76,5,18,
3173041008,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,60,1,0,0,59,0,0,0,0,0,0,0,88,5,83,1,13,2,7,0,4,
