id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,probable_meninggal,selesai_isolasi,pelaku_perjalanan,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,meninggal,selesai_isolasi,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,160,7,44,0,109,0,0,0,6,1,5,296,39,257,4,0,4,43,4,37,0,2,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,199,3,7,2,187,0,0,0,0,0,0,291,14,277,22,0,22,49,6,35,2,6,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,72,9,8,1,54,0,0,0,3,1,2,158,64,94,22,0,22,30,3,21,1,5,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,33,0,0,1,32,0,0,0,0,0,0,32,2,30,0,0,0,7,1,4,1,1,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,111,1,1,1,108,0,0,0,2,0,2,138,23,115,14,0,14,41,3,19,0,19,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,91,3,0,2,86,0,0,0,18,0,18,373,16,357,6,0,6,30,5,23,2,0,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,62,2,0,1,59,0,0,0,2,0,2,71,12,59,7,0,7,16,1,13,0,2,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,139,6,7,0,126,1,1,0,1,0,1,246,42,204,26,0,26,41,0,30,3,8,
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,11126,2,8,1626,9490,287,286,1,116,0,116,6177,48,6129,87,1,86,4536,1077,1045,74,2340,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,180,16,17,0,147,0,0,0,2,0,2,224,12,212,4,0,4,34,1,27,2,4,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,74,12,2,3,57,0,0,0,0,0,0,142,34,108,21,0,21,68,1,50,7,10,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,352,6,47,2,297,1,0,1,7,0,7,634,95,539,17,0,17,71,5,53,6,7,
