id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,perawatan_rs,probable_meninggal,selesai_isolasi,pelaku_perjalanan,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,106,3,0,0,103,0,0,0,0,5,0,5,252,6,246,4,40,3,33,0,4,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,184,2,2,1,179,0,0,0,0,0,0,0,273,4,269,22,45,4,32,2,7,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,56,3,0,0,53,0,0,0,0,2,0,2,92,8,84,22,23,1,17,1,4,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,33,0,0,1,32,0,0,0,0,0,0,0,29,2,27,0,6,0,4,1,1,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,108,4,0,1,103,0,0,0,0,2,0,2,111,7,104,14,26,4,17,0,5,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,90,2,0,2,86,0,0,0,0,18,0,18,366,18,348,6,26,1,20,2,3,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,62,11,0,1,50,0,0,0,0,2,0,2,59,5,54,6,15,1,8,0,6,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,122,7,1,0,114,1,0,1,0,1,0,1,201,24,177,24,36,1,28,3,4,
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,11212,18,8,1627,9559,1,0,0,1,122,0,122,6716,114,6602,82,2779,431,576,42,1730,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,129,7,19,0,103,0,0,0,0,2,0,2,216,7,209,4,30,0,26,1,3,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,57,14,0,3,40,0,0,0,0,0,0,0,92,8,84,21,65,1,48,7,9,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,309,7,10,2,290,1,0,0,1,7,0,7,571,103,468,17,63,1,42,6,14,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,88,1,1,3,83,1,0,0,1,13,0,13,188,10,178,8,36,0,22,5,9,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,73,0,3,2,68,0,0,0,0,13,0,13,249,1,248,8,24,1,18,2,3,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,82,2,1,1,78,0,0,0,0,0,0,0,200,5,195,33,23,2,14,1,6,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,73,7,3,2,61,0,0,0,0,3,0,3,203,13,190,24,26,1,16,0,9,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,60,2,3,0,55,0,0,0,0,2,1,1,107,25,82,11,34,2,26,1,5,
3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,67,4,0,0,63,0,0,0,0,0,0,0,60,6,54,8,8,1,4,0,3,
3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,163,3,2,1,157,0,0,0,0,3,0,3,154,11,143,24,74,5,38,7,24,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,378,10,4,1,363,0,0,0,0,7,0,7,910,111,799,35,137,7,55,7,68,
3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,228,6,1,1,220,0,0,0,0,7,0,7,738,36,702,39,106,1,73,1,31,
3173011001,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,85,3,2,1,79,0,0,0,0,4,0,4,462,23,439,6,42,4,34,2,2,
3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,118,2,0,6,110,1,0,0,1,3,0,3,487,17,470,7,71,8,50,6,7,
3175091002,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,181,5,3,4,169,0,0,0,0,13,7,6,804,121,683,74,36,3,24,2,7,
3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,110,6,0,1,103,0,0,0,0,7,0,7,188,7,181,11,37,0,18,3,16,
3174091003,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,139,2,0,1,136,0,0,0,0,9,0,9,138,5,133,6,31,5,11,1,14,
3175051003,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,174,12,0,3,159,0,0,0,0,0,0,0,171,8,163,3,39,1,22,2,14,
3171061003,DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,41,1,1,0,39,0,0,0,0,0,0,0,106,48,58,8,14,1,9,1,3,
3174081006,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,25,0,0,0,25,0,0,0,0,3,0,3,60,4,56,0,12,0,9,1,2,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,233,2,0,4,227,0,0,0,0,88,0,88,435,12,423,37,61,4,37,3,17,
3174041003,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,78,5,0,1,72,0,0,0,0,17,0,17,93,5,88,6,20,2,11,2,5,
3175101002,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,104,3,0,1,100,0,0,0,0,0,0,0,112,11,101,17,23,1,17,0,5,
3175041006,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,79,5,7,1,66,0,0,0,0,1,0,1,172,33,139,38,29,4,16,2,7,
3172041001,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,139,2,9,1,127,0,0,0,0,3,1,2,373,24,349,57,65,0,43,1,21,
3175101001,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,136,3,6,2,125,0,0,0,0,2,0,2,131,11,120,7,28,1,21,1,5,
3174091006,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,132,1,0,0,131,1,0,0,1,0,0,0,106,1,105,5,23,5,16,0,2,
3174061005,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,89,2,0,1,86,0,0,0,0,41,0,41,148,8,140,3,16,1,5,4,6,
3174071010,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,104,3,0,3,98,0,0,0,0,9,0,9,157,5,152,5,23,2,16,2,3,
3175021003,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,56,2,1,2,51,0,0,0,0,3,0,3,240,18,222,22,37,3,21,3,10,
3175031007,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,58,0,2,1,55,0,0,0,0,1,0,1,107,7,100,4,22,0,16,1,5,
3175031008,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,44,1,0,0,43,0,0,0,0,3,0,3,224,9,215,12,47,0,41,2,4,
3175031005,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,68,4,0,2,62,0,0,0,0,1,0,1,71,7,64,6,12,1,9,1,1,
3175081005,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,68,4,1,2,61,0,0,0,0,2,0,2,170,24,146,11,34,2,23,4,5,
3175031006,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,87,5,0,1,81,0,0,0,0,3,0,3,189,7,182,25,46,0,38,1,7,
3174051003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,82,4,1,4,73,0,0,0,0,6,1,5,282,11,271,4,48,1,38,3,6,
