id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan rs,isolasi di rumah,suspek meninggal,selesai isolasi,probable,perawatan rs,probable meninggal,selesai isolasi,pelaku perjalanan,isolasi di rumah,selesai isolasi,kontak erat,isolasi di rumah,selesai isolasi,discarded,positif,dirawat,sembuh,meninggal,self isolation,keterangan
3175101001,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,135,3,7,2,123,0,0,0,0,2,0,2,134,13,121,7,29,2,21,1,5,
3174091006,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,132,1,0,0,131,1,0,0,1,0,0,0,108,3,105,5,25,6,17,0,2,
3174061005,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,89,1,0,1,87,0,0,0,0,41,0,41,150,10,140,3,16,1,5,4,6,
3174071010,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,105,5,0,3,97,0,0,0,0,9,0,9,173,23,150,5,23,2,16,2,3,
3175021003,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,56,1,1,2,52,0,0,0,0,3,0,3,243,22,221,22,37,3,22,3,9,
3175031007,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,59,0,3,1,55,0,0,0,0,1,0,1,108,8,100,4,23,0,16,1,6,
3175031008,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,47,3,1,0,43,0,0,0,0,3,0,3,237,20,217,11,49,1,41,2,5,
3175031005,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,66,4,0,2,60,0,0,0,0,1,0,1,72,7,65,6,12,1,9,1,1,
3175081005,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,67,4,1,2,60,0,0,0,0,2,0,2,173,24,149,11,36,3,23,4,6,
3175031006,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,87,5,0,1,81,0,0,0,0,3,0,3,190,8,182,24,47,0,38,1,8,
3174051003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,86,5,0,4,77,0,0,0,0,6,1,5,302,19,283,4,48,0,40,3,5,
3175091001,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,172,7,3,9,153,0,0,0,0,9,0,9,448,22,426,40,48,1,34,5,8,
3175041003,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,DUKUH,82,8,0,1,73,0,0,0,0,1,0,1,112,12,100,15,20,0,15,0,5,
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,304,9,1,2,292,2,0,0,2,1,0,1,209,22,187,13,83,1,57,8,17,
3174081004,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,84,0,1,0,83,0,0,0,0,0,0,0,187,6,181,2,18,1,11,0,6,
3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,144,9,1,2,132,0,0,0,0,7,0,7,507,11,496,61,99,5,64,6,24,
3173011002,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,130,4,2,3,121,0,0,0,0,3,0,3,305,17,288,8,35,3,25,1,6,
3171011006,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,47,5,0,3,39,0,0,0,0,0,0,0,105,5,100,5,25,0,15,2,8,
3173041011,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI SELATAN,35,6,0,1,28,0,0,0,0,1,0,1,45,0,45,3,13,0,8,0,5,
3173041003,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI UTARA,76,3,5,2,66,0,0,0,0,1,0,1,68,4,64,1,21,0,14,3,4,
3171081003,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,GALUR,39,1,0,0,38,0,0,0,0,2,0,2,151,9,142,42,40,2,8,4,26,
3171011001,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,28,0,0,0,28,0,0,0,0,17,0,17,97,2,95,6,11,1,9,0,1,
3174061004,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,55,1,1,0,53,1,0,0,1,20,0,20,103,12,91,0,16,0,7,1,8,
3174071009,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,99,7,0,1,91,0,0,0,0,1,0,1,263,35,228,0,28,2,17,1,8,
3175051001,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,GEDONG,253,30,0,0,223,0,0,0,0,0,0,0,102,10,92,17,58,6,41,0,11,
3171071001,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,30,0,0,1,29,0,0,0,0,5,0,5,50,0,50,0,21,0,12,1,8,
3173031007,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,32,0,2,0,30,0,0,0,0,0,0,0,49,18,31,0,4,0,2,1,1,
3171061004,DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,18,0,0,1,17,0,0,0,0,4,0,4,59,22,37,7,20,1,16,2,1,
3173021001,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,103,1,1,3,98,0,0,0,0,39,0,39,364,7,357,30,47,1,33,0,13,
3174051005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,88,2,1,3,82,1,0,1,0,11,0,11,308,22,286,3,46,3,32,5,6,
3174051004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,134,4,1,4,125,0,0,0,0,23,0,23,324,10,314,12,90,2,55,2,31,
3174021007,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,GUNTUR,17,1,1,0,15,0,0,0,0,0,0,0,45,2,43,1,6,1,5,0,0,
3174071002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,42,0,0,3,39,0,0,0,0,7,0,7,128,7,121,0,13,1,10,1,1,
3171031005,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,115,4,1,1,109,0,0,0,0,2,0,2,155,8,147,1,18,0,13,2,3,
3171021004,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,92,3,1,1,87,0,0,0,0,2,1,1,136,13,123,4,29,1,15,4,9,
3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,52,6,2,2,42,0,0,0,0,2,0,2,99,27,72,7,40,2,30,3,5,
3171031003,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,130,8,11,2,109,0,0,0,0,4,1,3,154,16,138,25,65,1,32,4,28,
3174091001,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,262,6,2,1,253,1,0,0,1,5,0,5,258,19,239,8,56,4,33,2,17,
3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,84,11,1,1,71,0,0,0,0,4,0,4,229,24,205,18,45,0,33,0,12,
3174041002,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,123,4,1,2,116,0,0,0,0,2,0,2,236,89,147,12,32,3,20,3,6,
3173071004,DKI JAKARTA,JAKARTA BARAT,PALMERAH,JATI PULO,168,6,1,4,157,0,0,0,0,2,0,2,309,24,285,57,83,2,62,2,17,
3175061001,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,JATINEGARA,126,6,1,3,116,0,0,0,0,2,0,2,291,18,273,30,50,2,33,3,12,
3175021004,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,16,0,1,0,15,0,0,0,0,3,0,3,85,4,81,3,8,2,5,0,1,
3173021004,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,92,4,1,4,83,0,0,0,0,22,4,18,353,51,302,6,43,2,30,4,7,
3173021006,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,142,0,1,2,139,0,0,0,0,4,0,4,346,91,255,14,27,0,18,2,7,
3173041006,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,239,7,28,1,203,0,0,0,0,0,0,0,200,41,159,7,98,1,76,5,16,
3173041008,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,60,1,0,0,59,0,0,0,0,0,0,0,87,4,83,1,13,2,7,0,4,
3173081005,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,JOGLO,87,1,0,4,82,0,0,0,0,3,0,3,162,12,150,12,36,0,35,1,0,
3171081001,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,192,4,0,3,185,0,0,0,0,3,0,3,615,31,584,90,109,5,49,5,50,
3173041002,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KALI ANYAR,107,9,2,0,96,0,0,0,0,3,0,3,167,14,153,8,36,2,13,2,19,
3172041004,DKI JAKARTA,JAKARTA UTARA,CILINCING,KALI BARU,96,10,2,5,79,0,0,0,0,1,0,1,156,29,127,28,46,10,30,4,2,
3174081002,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,KALIBATA,141,6,0,3,132,0,0,0,0,5,0,5,212,13,199,9,56,2,30,1,23,
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,350,7,15,4,324,0,0,0,0,5,0,5,1039,33,1006,25,67,5,51,4,7,
3175051004,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,KALISARI,168,12,2,0,154,0,0,0,0,1,0,1,116,19,97,6,39,0,27,2,10,
3173061004,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KAMAL,131,0,5,3,123,0,0,0,0,0,0,0,276,27,249,1,8,1,3,2,2,
3172011002,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,14,0,0,0,14,0,0,0,0,4,0,4,28,2,26,0,16,0,15,1,0,
3171071007,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,61,3,0,2,56,0,0,0,0,1,0,1,99,1,98,0,18,0,15,1,2,
3175031001,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,39,5,0,4,30,0,0,0,0,3,0,3,66,8,58,3,65,2,38,1,24,
