id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,odp_meninggal,pdp,masih_dirawat,pulang_dan_sehat,pdp_meninggal,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,331,0,330,1,26,3,23,0,38,1,33,0,4,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,419,0,419,0,47,0,46,1,40,2,27,2,9,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,135,0,135,0,30,4,26,0,21,0,16,1,4,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,37,0,37,0,15,0,14,1,6,0,5,1,0,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,188,1,186,1,36,1,35,0,21,2,15,0,4,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,428,0,427,1,25,1,23,1,25,0,20,2,3,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,102,0,101,1,6,3,3,0,14,0,8,0,6,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,264,0,263,1,45,5,39,1,35,2,25,3,5,
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,10472,0,10412,60,5297,0,3721,1576,2576,284,593,42,1657,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,255,2,252,1,38,4,34,0,28,0,19,1,8,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,130,1,129,0,11,0,8,3,58,2,43,7,6,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,734,2,731,1,82,9,71,2,61,1,41,6,13,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,235,2,232,1,49,7,40,2,35,0,21,5,9,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,315,2,313,0,20,0,18,2,21,0,17,2,2,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,278,1,277,0,22,1,20,1,20,2,14,1,3,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,256,3,253,0,28,5,21,2,20,1,16,0,3,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,121,0,121,0,27,1,26,0,33,1,24,1,7,
3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,102,0,102,0,22,0,22,0,6,0,2,0,4,
3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,290,2,287,1,41,0,40,1,69,4,37,7,21,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,1080,9,1069,2,115,5,109,1,122,4,48,7,63,
3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,860,3,856,1,95,8,86,1,87,3,66,1,17,
