id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,probable_meninggal,selesai_isolasi,pelaku_perjalanan,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,meninggal,selesai_isolasi,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,152,6,38,0,108,0,0,0,6,1,5,292,35,257,4,0,4,43,4,37,0,2,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,191,2,7,2,180,0,0,0,0,0,0,288,11,277,22,0,22,49,6,35,2,6,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,72,9,8,1,54,0,0,0,3,1,2,158,67,91,22,0,22,30,3,19,1,7,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,32,0,0,1,31,0,0,0,0,0,0,32,4,28,0,0,0,7,1,4,1,1,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,111,3,1,1,106,0,0,0,2,0,2,136,23,113,14,0,14,41,3,19,0,19,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,91,3,0,2,86,0,0,0,18,0,18,373,17,356,6,0,6,30,5,23,2,0,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,61,9,0,1,51,0,0,0,2,0,2,68,10,58,7,0,7,16,1,11,0,4,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,135,6,6,0,123,1,1,0,1,0,1,236,44,192,26,0,26,40,0,30,3,7,
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,11127,10,8,1626,9483,273,272,1,116,0,116,6195,97,6098,87,1,86,4120,1033,992,60,2035,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,169,15,7,0,147,0,0,0,2,0,2,224,12,212,4,0,4,34,1,27,2,4,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,73,15,4,3,51,0,0,0,0,0,0,142,37,105,21,0,21,68,1,50,7,10,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,351,6,47,2,296,1,0,1,7,0,7,633,118,515,17,0,17,71,5,49,6,11,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,90,1,4,3,82,1,0,1,13,0,13,204,19,185,8,0,8,37,1,24,6,6,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,81,3,4,2,72,0,0,0,13,0,13,255,6,249,8,0,8,24,2,17,2,3,
