id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,odp_meninggal,pdp,masih_dirawat,pulang_dan_sehat,pdp_meninggal,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,12979,2,12918,59,5300,5,3735,1560,1458,246,312,27,873,
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,13826,258,13556,12,3369,169,3122,78,1895,24,1713,74,84,
3173061005,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,582,6,575,1,82,4,72,6,53,5,41,4,3,
3174071006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,23,0,23,0,18,1,17,0,16,0,16,0,0,
3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,749,4,744,1,74,4,67,3,76,2,49,7,18,
3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,595,1,593,1,178,1,175,2,45,0,31,7,7,
3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,326,0,326,0,47,6,39,2,91,6,59,2,24,
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,304,5,299,0,63,2,59,2,57,4,36,7,10,
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,881,4,875,2,95,3,89,3,55,6,37,4,8,
3174051002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,507,9,498,0,64,6,56,2,51,5,31,9,6,
3175071004,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,307,3,304,0,32,1,31,0,67,6,46,4,11,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,553,1,552,0,79,2,73,4,40,6,23,3,8,
3173081004,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,203,3,200,0,52,1,49,2,42,3,28,3,8,
3174011003,DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,305,0,302,3,38,2,33,3,34,2,22,3,7,
3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,570,2,568,0,147,2,143,2,58,5,38,5,10,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,407,0,407,0,24,2,21,1,21,0,15,2,4,
3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,89,2,87,0,15,1,12,2,28,1,21,2,4,
3172021006,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,985,5,980,0,157,1,155,1,173,8,134,11,20,
3172011005,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,213,0,213,0,51,1,46,4,50,5,36,5,4,
3174091005,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,179,4,175,0,50,2,47,1,25,2,14,2,7,
3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,575,1,572,2,53,2,50,1,68,9,33,6,20,
3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,225,1,223,1,29,1,28,0,33,1,27,0,5,
3174011001,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET TIMUR,236,0,236,0,20,3,16,1,19,1,12,3,3,
3174061002,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,326,4,322,0,41,1,38,2,34,2,20,6,6,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,587,0,587,0,72,16,54,2,51,3,29,7,12,
3171031003,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,200,0,200,0,24,1,21,2,33,1,13,3,16,
3173051007,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,261,1,260,0,33,2,26,5,26,0,13,1,12,
3173051004,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,151,1,150,0,18,3,15,0,34,2,24,0,8,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,185,4,181,0,31,5,25,1,27,2,19,3,3,
3174071005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,28,1,26,1,7,0,7,0,7,0,6,1,0,
3175031006,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,202,5,197,0,28,4,23,1,39,2,27,1,9,
3175061003,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,324,1,320,3,45,1,43,1,58,7,32,3,16,
3174011002,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET BARAT,319,2,317,0,32,0,32,0,37,2,25,2,8,
3173021004,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,327,0,327,0,24,2,17,5,35,1,25,4,5,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,212,1,210,1,38,3,33,2,29,5,14,5,5,
3174021003,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,173,0,173,0,21,2,18,1,16,0,13,2,1,
