id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,probable_meninggal,selesai_isolasi,pelaku_perjalanan,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,meninggal,selesai_isolasi,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,164,8,28,0,128,0,0,0,7,2,5,311,34,277,4,0,4,46,5,38,0,3,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,202,4,7,2,189,0,0,0,0,0,0,296,16,280,22,0,22,49,6,36,2,5,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,74,9,8,1,56,0,0,0,3,1,2,177,81,96,22,0,22,31,3,21,1,6,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,34,0,0,1,33,0,0,0,0,0,0,32,1,31,0,0,0,7,1,5,1,0,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,111,0,1,1,109,0,0,0,2,0,2,146,26,120,14,0,14,45,3,21,0,21,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,91,1,0,2,88,0,0,0,18,0,18,376,7,369,6,0,6,30,5,23,2,0,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,63,1,0,1,61,0,0,0,2,0,2,74,11,63,7,0,7,16,1,13,0,2,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,145,6,11,0,128,1,1,0,1,0,1,324,112,212,26,0,26,42,0,31,3,8,
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,11126,0,0,1626,9500,587,586,1,116,0,116,6179,1,6178,87,1,86,4884,1209,1191,88,2396,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,183,10,14,0,159,0,0,0,2,0,2,230,12,218,4,0,4,34,1,28,2,3,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,79,1,4,3,71,0,0,0,0,0,0,147,26,121,21,0,21,68,1,51,7,9,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,361,5,46,2,308,1,0,1,7,0,7,647,72,575,17,0,17,71,5,56,6,4,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,92,1,2,3,86,1,0,1,13,0,13,207,12,195,8,0,8,40,3,25,6,6,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,88,4,9,2,73,0,0,0,13,0,13,272,21,251,8,0,8,24,2,18,2,2,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,86,0,4,1,81,0,0,0,0,0,0,220,19,201,33,0,33,36,4,17,1,14,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,83,3,3,2,75,0,0,0,3,0,3,234,22,212,24,0,24,35,4,20,0,11,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,81,1,8,0,72,0,0,0,4,2,2,220,62,158,11,0,11,38,3,30,1,4,
3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,71,2,0,0,69,0,0,0,0,0,0,67,6,61,8,0,8,9,1,6,0,2,
