id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan rs,isolasi di rumah,suspek meninggal,selesai isolasi,probable,perawatan rs,probable meninggal,selesai isolasi,pelaku perjalanan,isolasi di rumah,selesai isolasi,kontak erat,isolasi di rumah,selesai isolasi,discarded,meninggal,selesai isolasi,positif,dirawat,sembuh,meninggal,self isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,151,6,38,0,107,0,0,0,0,6,1,5,292,35,257,4,0,4,43,4,36,0,3,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,190,2,6,2,180,0,0,0,0,0,0,0,286,13,273,22,0,22,47,4,35,2,6,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,71,9,7,1,54,0,0,0,0,3,1,2,129,38,91,22,0,22,27,3,18,1,5,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,32,0,0,1,31,0,0,0,0,0,0,0,32,4,28,0,0,0,7,1,4,1,1,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,111,4,1,1,105,0,0,0,0,2,0,2,135,22,113,14,0,14,40,3,19,0,18,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,91,3,0,2,86,0,0,0,0,18,0,18,372,16,356,6,0,6,29,4,23,2,0,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,61,10,0,1,50,0,0,0,0,2,0,2,65,7,58,7,0,7,16,1,11,0,4,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,132,7,4,0,121,1,0,1,0,1,0,1,231,40,191,26,0,26,38,0,30,3,5,
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,11132,12,9,1626,9485,273,0,272,1,118,0,118,6342,108,6234,87,1,86,3979,927,908,58,2086,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,167,18,7,0,142,0,0,0,0,2,0,2,222,10,212,4,0,4,33,0,27,2,4,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,72,15,4,3,50,0,0,0,0,0,0,0,141,36,105,21,0,21,69,1,50,7,11,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,334,8,30,2,294,1,0,0,1,7,0,7,630,115,515,17,0,17,68,4,48,6,10,
