id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,3918,101,3817,2632,244,2388,572,158,28,7,379,
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,6087,351,5736,1839,199,1640,1401,443,450,71,437,
3173061005,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,131,1,130,63,3,60,51,11,33,4,3,
3174071006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,6,0,6,13,0,13,17,0,16,0,1,
3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,424,3,421,46,2,44,55,13,22,7,13,
3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,161,0,161,67,0,67,37,8,15,4,10,
3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,116,2,114,30,1,29,44,9,27,1,7,
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,139,3,136,35,0,35,40,7,22,4,7,
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,246,1,245,68,2,66,42,10,21,5,6,
3174051002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,158,0,158,37,0,37,41,6,19,9,7,
3175071004,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,107,1,106,14,0,14,54,13,26,4,11,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,166,0,166,67,1,66,28,4,15,3,6,
3173081004,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,63,2,61,35,2,33,28,4,13,3,8,
3174011003,DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,85,0,85,23,3,20,27,3,13,3,8,
3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,179,0,179,56,3,53,54,11,28,3,12,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,75,1,74,12,0,12,18,4,7,2,5,
3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,36,0,36,11,2,9,24,4,17,2,1,
3172021006,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,541,7,534,145,8,137,151,39,29,11,72,
3172011005,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,75,1,74,43,1,42,38,7,13,4,14,
3174091005,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,84,1,83,31,1,30,21,3,10,3,5,
3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,264,0,264,41,5,36,43,15,12,4,12,
3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,82,1,81,19,0,19,26,6,15,0,5,
3174011001,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET TIMUR,44,0,44,14,1,13,14,1,9,3,1,
3174061002,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,114,0,114,32,1,31,28,6,9,6,7,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,86,3,83,34,3,31,27,6,12,6,3,
3171031003,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,44,1,43,17,0,17,16,1,7,2,6,
3173051007,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,87,2,85,24,1,23,15,3,7,0,5,
3173051004,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,83,0,83,15,1,14,20,7,8,1,4,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,61,0,61,19,2,17,23,3,13,3,4,
