id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,perawatan_rs,isolasi_di_rumah,probable_meninggal,selesai_isolasi,pelaku_perjalanan,perawatan_rs,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,meninggal,selesai_isolasi,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,362,0,18,0,344,4,0,0,0,4,9,0,0,9,512,31,481,7,0,7,187,3,157,2,25,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,331,3,12,2,314,1,0,0,1,0,0,0,0,0,425,15,410,25,0,25,116,4,103,2,7,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,202,7,9,1,185,1,0,0,0,1,5,0,0,5,399,33,366,23,0,23,102,6,83,2,11,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,82,0,2,1,79,0,0,0,0,0,0,0,0,0,86,8,78,4,0,4,24,0,18,1,5,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,250,8,28,1,213,0,0,0,0,0,3,0,0,3,405,75,330,17,0,17,99,7,77,1,14,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,177,2,20,2,153,4,0,0,1,3,18,0,0,18,526,30,496,8,0,8,114,4,91,2,17,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,223,6,14,1,202,0,0,0,0,0,4,0,0,4,311,29,282,15,0,15,88,6,67,0,15,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,333,6,20,1,306,2,0,0,0,2,2,0,0,2,701,69,632,25,0,25,135,6,100,3,26,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,327,5,9,0,313,0,0,0,0,0,4,0,1,3,403,33,370,9,0,9,154,12,82,2,58,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,241,4,16,3,218,0,0,0,0,0,1,0,0,1,295,28,267,30,0,30,194,0,144,9,41,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,542,5,19,2,516,4,0,0,0,4,9,0,0,9,1127,70,1057,22,0,22,187,4,144,6,33,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,262,2,36,3,221,1,0,0,0,1,13,0,0,13,422,35,387,13,0,13,118,3,78,7,30,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,179,5,4,2,168,1,0,0,0,1,13,0,0,13,441,16,425,10,0,10,135,2,103,2,28,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,212,3,23,1,185,0,0,0,0,0,0,0,0,0,527,41,486,39,0,39,159,2,115,3,39,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,266,11,33,2,220,2,0,0,1,1,5,0,2,3,576,67,509,32,0,32,167,5,119,2,41,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,218,4,17,0,197,1,0,0,0,1,4,0,0,4,496,46,450,14,0,14,139,5,110,3,21,
3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,162,4,23,0,135,0,0,0,0,0,0,0,0,0,230,53,177,8,0,8,63,6,36,0,21,
3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,450,5,25,2,418,1,0,0,0,1,7,0,0,7,590,68,522,31,0,31,250,9,215,12,14,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,705,8,21,2,674,2,0,0,0,2,12,0,0,12,1533,103,1430,47,0,47,515,4,414,10,87,
3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,474,7,9,1,457,0,0,0,0,0,10,0,1,9,1106,66,1040,53,0,53,278,3,236,4,35,
3173011001,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,405,4,29,1,371,0,0,0,0,0,5,0,0,5,975,109,866,11,0,11,241,5,180,4,52,
3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,586,8,50,7,521,1,0,0,0,1,4,0,1,3,1289,157,1132,14,0,14,399,7,299,12,81,
3175091002,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,601,13,59,4,525,1,0,0,0,1,30,0,0,30,1553,55,1498,83,0,83,196,3,159,6,28,
3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,216,0,9,2,205,0,0,0,0,0,8,0,0,8,427,23,404,13,0,13,150,6,125,5,14,
3174091003,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,511,10,16,1,484,2,0,0,0,2,12,0,1,11,423,41,382,10,0,10,120,7,81,4,28,
3175051003,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,487,7,49,3,428,0,0,0,0,0,2,0,1,1,416,28,388,8,0,8,167,3,122,7,35,
3171061003,DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,105,1,6,0,98,0,0,0,0,0,0,0,0,0,167,12,155,11,0,11,41,0,26,2,13,
3174081006,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,146,0,2,0,144,1,0,0,0,1,10,0,0,10,230,15,215,0,0,0,47,0,44,1,2,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,621,3,46,5,567,1,0,0,0,1,96,0,1,95,986,102,884,36,0,36,215,10,141,7,57,
3174041003,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,327,7,61,1,258,4,1,0,0,3,17,0,0,17,314,26,288,86,0,86,201,2,164,7,28,
3175101002,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,231,5,11,1,214,1,1,0,0,0,2,0,0,2,402,72,330,18,0,18,105,7,82,0,16,
3175041006,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,222,2,19,1,200,0,0,0,0,0,5,0,0,5,588,56,532,42,0,42,164,6,126,3,29,
3172041001,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,409,8,30,1,370,0,0,0,0,0,6,0,0,6,1022,31,991,75,0,75,298,4,261,5,28,
3175101001,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,337,7,25,2,303,3,0,0,1,2,5,0,1,4,409,78,331,21,0,21,140,3,114,2,21,
3174091006,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,438,6,27,0,405,2,0,0,0,2,1,0,1,0,344,49,295,6,0,6,104,3,74,2,25,
3174061005,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,188,0,8,1,179,2,0,0,0,2,45,0,1,44,327,51,276,6,0,6,65,1,33,6,25,
3174071010,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,390,0,33,3,354,0,0,0,0,0,9,0,0,9,363,15,348,5,0,5,87,0,74,3,10,
3175021003,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,224,2,25,2,195,0,0,0,0,0,3,0,0,3,681,52,629,35,0,35,221,14,170,6,31,
3175031007,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,178,2,5,2,169,2,0,0,0,2,1,0,0,1,319,28,291,14,0,14,111,2,81,2,26,
3175031008,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,287,14,20,0,253,1,0,0,0,1,3,0,0,3,460,33,427,16,0,16,201,3,154,4,40,
3175031005,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,190,3,11,2,174,0,0,0,0,0,2,0,0,2,308,43,265,12,0,12,106,7,59,2,38,
3175081005,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,254,9,14,2,229,1,0,0,0,1,3,0,0,3,560,50,510,17,0,17,182,9,129,5,39,
3175031006,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,286,12,20,1,253,4,0,0,0,4,6,0,0,6,601,65,536,24,0,24,207,2,143,3,59,
3174051003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,215,0,10,4,201,4,0,0,0,4,6,0,0,6,446,15,431,7,0,7,137,1,116,4,16,
3175091001,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,597,8,76,9,504,3,0,0,0,3,22,0,0,22,1249,57,1192,44,0,44,281,14,205,10,52,
