id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,perawatan_rs,isolasi_di_rumah,probable_meninggal,selesai_isolasi,pelaku_perjalanan,perawatan_rs,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,meninggal,selesai_isolasi,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,273,7,27,0,239,1,0,0,0,1,8,0,0,8,426,33,393,4,0,4,102,15,72,2,13,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,271,0,6,2,263,1,0,0,1,0,0,0,0,0,394,24,370,24,0,24,87,9,71,2,5,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,151,8,17,1,125,1,0,0,0,1,4,0,1,3,330,70,260,23,0,23,65,2,51,1,11,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,55,0,6,1,48,0,0,0,0,0,0,0,0,0,53,5,48,2,0,2,14,0,12,1,1,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,166,7,13,1,145,0,0,0,0,0,3,0,0,3,246,42,204,15,0,15,62,0,61,0,1,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,108,0,4,2,102,3,0,0,1,2,18,0,0,18,445,15,430,7,0,7,58,4,42,2,10,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,137,3,15,1,118,0,0,0,0,0,4,0,1,3,239,17,222,9,0,9,38,3,30,0,5,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,252,3,34,1,214,2,1,0,0,1,2,0,1,1,520,65,455,25,0,25,67,2,58,3,4,
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,10831,0,0,1690,9141,1320,0,0,1318,2,105,0,0,105,5214,0,5214,73,1,72,12299,2015,7462,260,2562,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,257,9,14,0,234,0,0,0,0,0,3,0,0,3,307,15,292,5,0,5,55,2,47,1,5,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,183,6,23,3,151,0,0,0,0,0,1,0,0,1,225,28,197,23,0,23,124,3,102,8,11,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,452,1,28,2,421,3,1,0,0,2,7,0,0,7,928,35,893,19,0,19,106,6,85,6,9,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,126,4,9,3,110,1,0,0,0,1,13,0,0,13,300,28,272,10,0,10,57,2,47,6,2,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,135,4,10,2,119,1,0,0,0,1,13,0,0,13,388,17,371,9,0,9,91,2,75,2,12,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,135,8,8,1,118,0,0,0,0,0,0,0,0,0,407,53,354,34,0,34,78,3,64,1,10,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,157,13,17,2,125,2,1,0,1,0,3,0,0,3,388,52,336,26,0,26,66,7,55,1,3,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,147,8,24,0,115,1,0,0,0,1,4,0,0,4,353,39,314,12,0,12,63,2,55,2,4,
3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,107,3,9,0,95,0,0,0,0,0,0,0,0,0,102,14,88,8,0,8,16,2,14,0,0,
3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,328,18,19,2,289,1,1,0,0,0,7,0,0,7,358,57,301,29,0,29,191,5,151,9,26,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,572,8,19,2,543,1,1,0,0,0,9,0,0,9,1290,65,1225,40,0,40,277,9,234,9,25,
3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,386,4,22,1,359,0,0,0,0,0,9,0,0,9,949,37,912,45,0,45,166,0,147,3,16,
3173011001,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,256,7,41,1,207,0,0,0,0,0,5,0,0,5,643,49,594,8,0,8,95,4,74,4,13,
3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,368,8,28,7,325,1,0,0,0,1,3,0,0,3,775,89,686,14,0,14,199,7,154,7,31,
3175091002,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,357,9,33,4,311,0,0,0,0,0,28,0,3,25,1321,123,1198,77,0,77,87,5,75,3,4,
3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,173,3,6,2,162,0,0,0,0,0,8,0,0,8,311,21,290,11,0,11,84,2,65,5,12,
3174091003,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,437,10,18,1,408,1,0,0,0,1,9,0,0,9,302,50,252,7,0,7,71,1,61,4,5,
3175051003,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,330,10,30,3,287,0,0,0,0,0,1,0,0,1,324,56,268,4,0,4,91,7,64,3,17,
3171061003,DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,82,4,11,0,67,0,0,0,0,0,0,0,0,0,142,18,124,11,0,11,23,1,15,2,5,
3174081006,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,87,3,9,0,75,0,0,0,0,0,10,0,0,10,184,6,178,0,0,0,31,1,27,1,2,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,370,19,27,5,319,0,0,0,0,0,92,0,0,92,597,60,537,36,0,36,91,1,84,4,2,
3174041003,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,170,31,12,1,126,0,0,0,0,0,17,0,0,17,247,13,234,58,0,58,109,7,82,4,16,
3175101002,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,170,6,12,1,151,0,0,0,0,0,1,0,0,1,219,32,187,18,0,18,54,3,39,0,12,
3175041006,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,154,5,14,1,134,0,0,0,0,0,4,0,1,3,443,58,385,41,0,41,88,2,69,2,15,
3172041001,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,278,9,29,1,239,0,0,0,0,0,5,0,1,4,903,116,787,59,0,59,219,18,159,3,39,
3175101001,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,214,5,10,2,197,1,0,0,1,0,4,0,0,4,235,32,203,9,0,9,82,1,79,1,1,
3174091006,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,354,17,16,0,321,1,0,0,0,1,0,0,0,0,218,35,183,5,0,5,50,3,37,0,10,
3174061005,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,139,7,10,1,121,1,1,0,0,0,44,0,0,44,225,24,201,4,0,4,30,1,22,4,3,
3174071010,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,272,8,42,3,219,0,0,0,0,0,9,0,0,9,303,23,280,5,0,5,48,3,33,3,9,
3175021003,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,131,7,12,2,110,0,0,0,0,0,3,0,0,3,530,94,436,27,0,27,138,8,102,5,23,
3175031007,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,128,9,11,2,106,0,0,0,0,0,1,0,0,1,189,31,158,7,0,7,43,3,38,1,1,
3175031008,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,139,8,24,0,107,1,1,0,0,0,3,0,0,3,339,32,307,15,0,15,74,1,69,2,2,
3175031005,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,131,7,16,2,106,0,0,0,0,0,2,0,0,2,159,33,126,8,0,8,38,0,34,1,3,
