id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,perawatan_rs,isolasi_di_rumah,probable_meninggal,selesai_isolasi,pelaku_perjalanan,perawatan_rs,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,meninggal,selesai_isolasi,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,281,8,29,0,244,1,0,0,0,1,8,0,0,8,438,39,399,4,0,4,106,15,72,2,17,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,285,5,12,2,266,1,0,0,1,0,0,0,0,0,395,12,383,24,0,24,89,9,74,2,4,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,155,8,15,1,131,1,0,0,0,1,4,0,1,3,337,52,285,23,0,23,66,3,51,1,11,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,62,3,8,1,50,0,0,0,0,0,0,0,0,0,56,6,50,2,0,2,14,0,12,1,1,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,170,9,14,1,146,0,0,0,0,0,3,0,0,3,258,39,219,15,0,15,63,1,61,0,1,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,111,0,4,2,105,3,0,0,1,2,18,0,0,18,456,21,435,8,0,8,59,5,42,2,10,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,160,2,35,1,122,0,0,0,0,0,4,0,1,3,245,16,229,9,0,9,49,2,30,0,17,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,256,4,36,1,215,2,1,0,0,1,2,0,1,1,538,69,469,25,0,25,68,3,58,3,4,
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,10831,0,0,1690,9141,1320,0,0,1318,2,105,0,0,105,5208,0,5208,73,1,72,12535,2063,7635,273,2564,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,267,12,15,0,240,0,0,0,0,0,3,0,0,3,311,14,297,5,0,5,58,2,49,1,6,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,190,11,21,3,155,0,0,0,0,0,1,0,0,1,230,26,204,23,0,23,125,4,104,8,9,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,458,2,30,2,424,3,0,0,0,3,7,0,0,7,937,24,913,19,0,19,107,6,86,6,9,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,131,7,9,3,112,1,0,0,0,1,13,0,0,13,313,30,283,10,0,10,57,2,47,6,2,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,140,4,13,2,121,1,0,0,0,1,13,0,0,13,396,13,383,9,0,9,91,2,75,2,12,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,141,10,10,1,120,0,0,0,0,0,0,0,0,0,425,52,373,34,0,34,79,3,65,1,10,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,164,15,14,2,133,2,1,0,1,0,3,0,0,3,417,68,349,26,0,26,67,7,55,1,4,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,153,8,23,0,122,1,0,0,0,1,4,0,0,4,363,43,320,12,0,12,73,11,55,2,5,
