id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,perawatan_rs,isolasi_di_rumah,probable_meninggal,selesai_isolasi,pelaku_perjalanan,perawatan_rs,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,meninggal,selesai_isolasi,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,369,0,17,0,352,4,0,0,0,4,9,0,0,9,539,43,496,7,0,7,195,1,164,2,28,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,341,2,11,2,326,1,0,0,1,0,0,0,0,0,435,18,417,25,0,25,119,5,105,2,7,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,211,6,13,1,191,1,0,0,0,1,5,0,0,5,417,31,386,23,0,23,113,3,91,2,17,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,83,0,2,1,80,0,0,0,0,0,0,0,0,0,89,9,80,4,0,4,25,1,22,1,1,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,275,4,35,1,235,0,0,0,0,0,4,0,1,3,429,58,371,17,0,17,109,4,85,1,19,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,189,4,15,2,168,4,0,0,1,3,18,0,0,18,551,44,507,8,0,8,112,3,96,2,11,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,250,2,32,1,215,0,0,0,0,0,4,0,0,4,322,22,300,16,0,16,102,6,77,0,19,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,346,6,17,1,322,2,0,0,0,2,2,0,0,2,729,74,655,25,0,25,147,4,118,3,22,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,332,4,9,0,319,0,0,0,0,0,4,0,1,3,431,46,385,9,0,9,167,5,125,3,34,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,263,3,22,3,235,0,0,0,0,0,2,0,1,1,317,37,280,31,0,31,206,1,170,9,26,
